x0000,y0000,x0001,y0001,x0002,y0002
0,0.3890674412,0,-0.06582149863,0,0.0009665586986,
1,0.3890674412,1,-0.06875118613,1,0.001967574935,
2,0.3863763511,2,-0.07265743613,2,0.002968591172,
3,0.3866210282,3,-0.07509884238,3,0.003969527781,
4,0.3875995576,4,-0.07680782676,4,0.004970623646,
5,0.3873549402,5,-0.07998165488,5,0.005971639883,
6,0.3853978217,6,-0.08339962363,6,0.00697265612,
7,0.3853978217,7,-0.08510860801,7,0.007973513566,
8,0.3856424391,8,-0.08779415488,8,0.00897445064,
9,0.3846639097,9,-0.09047970176,9,0.009975307621,
10,0.3817282617,10,-0.09414181113,10,0.01097616553,
11,0.3834407032,11,-0.09536251426,11,0.01197702251,
12,0.3831960857,12,-0.09829220176,12,0.01297780126,
13,0.3822174966,13,-0.1014660299,13,0.01397849992,
14,0.3797711432,14,-0.1041515768,14,0.01497919858,
15,0.3809942901,15,-0.1063488424,15,0.01597989723,
16,0.3807496727,16,-0.1090343893,16,0.01698075421,
17,0.3790372312,17,-0.1122082174,17,0.01798145287,
18,0.3773247302,18,-0.1148937643,18,0.01898207143,
19,0.3787925541,19,-0.1166027486,19,0.01998237334,
20,0.3783032596,20,-0.1195324361,20,0.02098315209,
21,0.3758569062,21,-0.1229504049,21,0.02198400907,
22,0.3748783171,22,-0.1249035299,22,0.02298478782,
23,0.3758569062,23,-0.1271007955,23,0.0239857249,
24,0.3751229942,24,-0.130030483,24,0.02498650178,
25,0.3714533746,25,-0.1332043111,25,0.02598712221,
26,0.3724319637,26,-0.1344250143,26,0.02698766254,
27,0.3729211986,27,-0.1373547018,27,0.02798836119,
28,0.3716980517,28,-0.1402843893,28,0.02898913808,
29,0.3692516387,29,-0.1439464986,29,0.02998991683,
30,0.3694962561,30,-0.1454113424,30,0.03099061549,
31,0.3697409332,31,-0.1473644674,31,0.03199131414,
32,0.3680284321,32,-0.1505382955,32,0.03299209103,
33,0.3658266962,33,-0.153467983,33,0.03399278969,
34,0.3665606081,34,-0.1549328268,34,0.03499356657,
35,0.3660713136,35,-0.1571300924,35,0.035994187,
36,0.3636249006,36,-0.1605480611,36,0.03699480742,
37,0.3621570766,37,-0.1627453268,37,0.03799550608,
38,0.3628909886,38,-0.1646984518,38,0.0389961265,
39,0.3619124591,39,-0.1673839986,39,0.0399967432,
40,0.3597107232,40,-0.171046108,40,0.04099720344,
41,0.3584875166,41,-0.1722668111,41,0.04199758545,
42,0.3592214286,42,-0.1747082174,42,0.04299788922,
43,0.3579982221,43,-0.1771496236,43,0.0439982675,
44,0.3579982221,44,-0.1795910299,44,0.04499857128,
45,0.3550625741,45,-0.1817882955,45,0.0459987931,
46,0.3545732796,46,-0.1842297018,46,0.04699893668,
47,0.3535946906,47,-0.1869152486,47,0.04799884185,
48,0.3526161611,48,-0.1898449361,48,0.04899874702,
49,0.3516376317,49,-0.1917980611,49,0.04999857023,
50,0.3504144251,50,-0.1942394674,50,0.0509984754,
51,0.3489466012,51,-0.1969250143,51,0.05199822038,
52,0.3457662761,52,-0.1993664205,52,0.05299796909,
53,0.3467448056,53,-0.2013195455,53,0.05399763212,
54,0.3460108936,54,-0.2037609518,54,0.05499722064,
55,0.3445430696,55,-0.2059582174,55,0.0559967272,
56,0.3413627446,56,-0.2083996236,56,0.05699623749,
57,0.3418520391,57,-0.210108608,57,0.05799582228,
58,0.34087345,58,-0.2130382955,58,0.0589954108,
59,0.3381824195,59,-0.215967983,59,0.05999499932,
60,0.3372038901,60,-0.217921108,60,0.06099450588,
61,0.3372038901,61,-0.2196300924,61,0.06199393421,
62,0.3359806836,62,-0.2225597799,62,0.06299351901,
63,0.3332896531,63,-0.2245129049,63,0.06399294734,
64,0.3323111236,64,-0.2269543111,64,0.06499245763,
65,0.3318218291,65,-0.2291515768,65,0.065991804,
66,0.3303540051,66,-0.2318371236,66,0.06699115038,
67,0.3271736801,67,-0.2342785299,67,0.06799057871,
68,0.3274182975,68,-0.235499233,68,0.06898985058,
69,0.3264397681,69,-0.2376964986,69,0.06998904049,
70,0.324727267,70,-0.2403820455,70,0.07098823041,
71,0.3217916191,71,-0.2425793111,71,0.07198742032,
72,0.3222809136,72,-0.2442882955,72,0.07298653573,
73,0.3210577071,73,-0.2469738424,73,0.07398572564,
74,0.318611294,74,-0.2494152486,74,0.07498467714,
75,0.3164095581,75,-0.2508800924,75,0.07598378509,
76,0.3166541755,76,-0.2528332174,76,0.07698273659,
77,0.315430969,77,-0.2555187643,77,0.07798161358,
78,0.3127399385,78,-0.2579601705,78,0.07898048311,
79,0.3115167916,79,-0.2594250143,79,0.07997935265,
80,0.3110274971,80,-0.2616222799,80,0.08097814769,
81,0.3090703785,81,-0.2635754049,81,0.08197686076,
82,0.309314996,82,-0.2650402486,82,0.08297549933,
83,0.305645436,83,-0.2674816549,83,0.08397405595,
84,0.3049115241,84,-0.2696789205,84,0.08497260511,
85,0.303199023,85,-0.2721203268,85,0.08597107977,
86,0.299284786,86,-0.2743175924,86,0.08696956187,
87,0.2997740805,87,-0.2755382955,87,0.08796779811,
88,0.2987955511,88,-0.2779797018,88,0.08896603435,
89,0.2965937555,89,-0.2796886861,89,0.08996427059,
90,0.293902725,90,-0.2818859518,90,0.09096243232,
91,0.2936581075,91,-0.2838390768,91,0.09196058661,
92,0.292434901,92,-0.2855480611,92,0.09295866638,
93,0.289988488,93,-0.288233608,93,0.09395682067,
94,0.2880313694,94,-0.2896984518,94,0.09495474398,
95,0.287786752,95,-0.2914074361,95,0.09595282376,
96,0.2858296335,96,-0.2933605611,96,0.09695090353,
97,0.283138603,97,-0.2958019674,97,0.09794890136,
98,0.281670779,98,-0.2970226705,98,0.09894689918,
99,0.2814261615,99,-0.2989757955,99,0.09994474053,
100,0.279469043,100,-0.3009289205,100,0.1009426564,
101,0.275554806,101,-0.3033703268,101,0.1019404233,
102,0.275554806,102,-0.3041027486,102,0.1029382646,
103,0.2745762169,103,-0.3060558736,103,0.1039359421,
104,0.272374481,104,-0.3080089986,104,0.104933545,
105,0.269438833,105,-0.3109386861,105,0.105931066,
106,0.268704921,106,-0.3109386861,106,0.1069285125,
107,0.2672370374,107,-0.3133800924,107,0.107925795,
108,0.2650353014,108,-0.3153332174,108,0.108923085,
109,0.2625888884,109,-0.3170422018,109,0.1099204421,
110,0.2620996535,110,-0.3180187643,110,0.1109178066,
111,0.2603871524,111,-0.3199718893,111,0.1119150147,
112,0.2576961219,112,-0.3216808736,112,0.1129122227,
113,0.2550050914,113,-0.323389858,113,0.1139092669,
114,0.255494386,114,-0.3250988424,114,0.1149062365,
115,0.2530479729,115,-0.3268078268,115,0.1159032807,
116,0.2520694435,116,-0.3280285299,116,0.1169001684,
117,0.2481552064,117,-0.3290050924,117,0.117897056,
118,0.248644501,118,-0.3309582174,118,0.1188938618,
119,0.2459534705,119,-0.3329113424,119,0.1198906749,
120,0.243996352,120,-0.3338879049,120,0.1208873242,
121,0.2420392334,121,-0.3358410299,121,0.1218839735,
122,0.2410606444,122,-0.3375500143,122,0.1228804588,
123,0.2388589084,123,-0.3392589986,123,0.1238771155,
124,0.2383696139,124,-0.3395031393,124,0.1248736009,
125,0.2349446714,125,-0.3414562643,125,0.1258699298,
126,0.2334768474,126,-0.3431652486,126,0.1268663406,
127,0.2310304344,127,-0.3451183736,127,0.1278627515,
128,0.2276054919,128,-0.3465832174,128,0.1288590878,
129,0.2276054919,129,-0.3473156393,129,0.1298554242,
130,0.2256483734,130,-0.3495129049,130,0.1308517456,
131,0.2227127254,131,-0.350733608,131,0.1318481565,
132,0.2205109894,132,-0.3517101705,132,0.1328445673,
133,0.2200216949,133,-0.352686733,133,0.1338409781,
134,0.2183091938,134,-0.354639858,134,0.1348373145,
135,0.2151288688,135,-0.3563488424,135,0.1358337998,
136,0.2129271328,136,-0.3570812643,136,0.1368302107,
137,0.2124378383,137,-0.3580578268,137,0.1378266364,
138,0.2104807794,138,-0.3597668111,138,0.1388229579,
139,0.2068111598,139,-0.3614757955,139,0.1398194581,
140,0.2060772479,140,-0.3617199361,140,0.1408157796,
141,0.2050986588,141,-0.3631847799,141,0.1418120414,
142,0.2026523054,142,-0.3648937643,142,0.1428082883,
143,0.1999612749,143,-0.3670910299,143,0.1438046247,
144,0.1982487738,144,-0.3666027486,144,0.1448007971,
145,0.1972702444,145,-0.3680675924,145,0.1457969695,
146,0.1945792139,146,-0.3697765768,146,0.1467930675,
147,0.1911542714,147,-0.370264858,147,0.1477891505,
148,0.1909095943,148,-0.3707531393,148,0.1487850845,
149,0.1891971529,149,-0.3727062643,149,0.1497810185,
150,0.1867507398,150,-0.3739269674,150,0.1507769525,
151,0.1830811799,151,-0.3749035299,151,0.151772812,
152,0.1828365028,152,-0.3756359518,152,0.152768597,
153,0.1813686788,153,-0.3768566549,153,0.1537643671,
154,0.1781883538,154,-0.3783214986,154,0.1547600627,
155,0.1754973233,155,-0.3785656393,155,0.1557556093,
156,0.1754973233,156,-0.3797863424,156,0.156751141,
157,0.1735402048,157,-0.3812511861,157,0.157746762,
158,0.1696259677,158,-0.381983608,158,0.1587421447,
159,0.1684028208,159,-0.3822277486,159,0.1597375125,
160,0.1674242318,160,-0.3834484518,160,0.1607328951,
161,0.1649778783,161,-0.3846691549,161,0.1617281884,
162,0.1608189642,162,-0.385889858,162,0.1627233326,
163,0.1605743468,163,-0.385889858,163,0.1637185514,
164,0.1591065228,164,-0.3871105611,164,0.1647138596,
165,0.1571494043,165,-0.3888195455,165,0.1657089144,
166,0.1532351673,166,-0.3895519674,166,0.1667040586,
167,0.1525012553,167,-0.3893078268,167,0.1676992774,
168,0.1507887542,168,-0.3905285299,168,0.1686942577,
169,0.1483424008,169,-0.391749233,169,0.1696894765,
170,0.1451620758,170,-0.3922375143,170,0.1706845462,
171,0.1444281638,171,-0.3924816549,171,0.1716796905,
172,0.1429603398,172,-0.3934582174,172,0.1726748198,
173,0.1395353377,173,-0.3946789205,173,0.1736699641,
174,0.1373336017,174,-0.3946789205,174,0.1746649444,
175,0.1368443072,175,-0.3954113424,175,0.1756601632,
176,0.1343979537,176,-0.3966320455,176,0.1766553074,
177,0.1312176287,177,-0.3983410299,177,0.1776503772,
178,0.1297498047,178,-0.3966320455,178,0.178645432,
179,0.1282819808,179,-0.3983410299,179,0.1796405762,
180,0.1260801852,180,-0.3988293111,180,0.1806355566,
181,0.1251016557,181,-0.3990734518,181,0.1816307008,
182,0.1216767132,182,-0.3990734518,182,0.1826256812,
183,0.1202088892,183,-0.4005382955,183,0.1836206615,
184,0.1177624762,184,-0.4010265768,184,0.1846156418,
185,0.1155607402,185,-0.4024914205,185,0.1856106222,
186,0.1136036217,186,-0.4007824361,186,0.186605528,
187,0.1118911207,187,-0.4022472799,187,0.1876004338,
188,0.1092000902,188,-0.4032238424,188,0.1885953397,
189,0.1060197651,189,-0.4027355611,189,0.1895901561,
190,0.1052858531,190,-0.4029797018,190,0.1905849874,
191,0.1035734117,191,-0.4042004049,191,0.1915798038,
192,0.1006377041,192,-0.4046886861,192,0.1925745457,
193,0.0981913507,193,-0.4039562643,193,0.1935692132,
194,0.09696814418,194,-0.4049328268,194,0.1945638806,
195,0.09525564313,195,-0.4059093893,195,0.1955586225,
196,0.09231999516,196,-0.4061535299,196,0.1965532899,
197,0.08987358212,197,-0.405421108,197,0.1975477934,
198,0.08889505267,198,-0.4061535299,198,0.1985423863,
199,0.08669325709,199,-0.4068859518,199,0.1995369643,
200,0.08400222659,200,-0.4068859518,200,0.2005315572,
201,0.08228978515,201,-0.4071300924,201,0.2015260607,
202,0.08082196116,202,-0.4076183736,202,0.2025205642,
203,0.07837554812,203,-0.4081066549,203,0.2035150677,
204,0.07519522309,204,-0.409327358,204,0.2045097351,
205,0.07421669364,205,-0.4076183736,205,0.2055042386,
206,0.07274886966,206,-0.4081066549,206,0.2064988166,
207,0.07030245662,207,-0.4090832174,207,0.207493484,
208,0.06687751412,208,-0.4088390768,208,0.208487913,
209,0.06638821959,209,-0.4083507955,209,0.2094825059,
210,0.06394180655,210,-0.4095714986,210,0.2104770839,
211,0.06149545312,211,-0.4098156393,211,0.2114715874,
212,0.05880442262,212,-0.409327358,212,0.2124662548,
213,0.0575812161,213,-0.409327358,213,0.2134608477,
214,0.05562409759,214,-0.4098156393,214,0.2144554257,
215,0.05293306708,215,-0.4103039205,215,0.2154500186,
216,0.05073133111,216,-0.409327358,216,0.2164445966,
217,0.04975274205,217,-0.4095714986,217,0.2174392641,
218,0.04755100608,218,-0.4100597799,218,0.2184339315,
219,0.04730638862,219,-0.4083507955,219,0.219428435,
220,0.04314747453,220,-0.4090832174,220,0.2204229385,
221,0.04143503308,221,-0.4095714986,221,0.2214173675,
222,0.03923329711,222,-0.4098156393,222,0.2224117965,
223,0.03580829501,223,-0.4095714986,223,0.223406136,
224,0.03531906009,224,-0.4088390768,224,0.2244001627,
225,0.03336194158,225,-0.409327358,225,0.2253944427,
226,0.03067091107,226,-0.4098156393,226,0.2263887078,
227,0.02822449803,227,-0.409327358,227,0.2273828089,
228,0.02724596858,228,-0.4085949361,228,0.2283769995,
229,0.025044173,229,-0.4088390768,229,0.2293711156,
230,0.02284243703,230,-0.4085949361,230,0.2303652167,
231,0.01990678906,231,-0.4081066549,231,0.2313593328,
232,0.01917287707,232,-0.4081066549,232,0.232353434,
233,0.01672646403,233,-0.4083507955,233,0.2333476245,
234,0.01428005099,234,-0.4081066549,234,0.2343415767,
235,0.01256760955,235,-0.4071300924,235,0.2353356034,
236,0.01109972596,236,-0.4068859518,236,0.2363297939,
237,0.008653372526,237,-0.4071300924,237,0.2373239845,
238,0.00522840023,238,-0.4071300924,238,0.2383183241,
239,0.004494488239,239,-0.4059093893,239,0.2393125147,
240,0.002782016993,240,-0.4059093893,240,0.2403065413,
241,0.0005802512169,241,-0.4059093893,241,0.2413007319,
242,-0.001866132021,242,-0.4063976705,242,0.2422949225,
243,-0.003333956003,243,-0.4046886861,243,0.2432891876,
244,-0.005535721779,244,-0.4046886861,244,0.2442834526,
245,-0.007737457752,245,-0.4046886861,245,0.2452778816,
246,-0.01018387079,246,-0.4046886861,246,0.2462724745,
247,-0.01091778278,247,-0.4029797018,247,0.247266978,
248,-0.01311951876,248,-0.4029797018,248,0.2482614815,
249,-0.01581057906,249,-0.4024914205,249,0.2492560595,
250,-0.01801231503,250,-0.401514858,250,0.2502505779,
251,-0.01923552155,251,-0.4012707174,251,0.2512450814,
252,-0.02119264007,252,-0.4012707174,252,0.2522398233,
253,-0.02192655206,253,-0.3993175924,253,0.2532343268,
254,-0.02535149455,254,-0.3988293111,254,0.2542289793,
255,-0.02657470107,255,-0.3990734518,255,0.2552235723,
256,-0.02926573157,256,-0.3990734518,256,0.2562182248,
257,-0.03073355556,257,-0.3978527486,257,0.2572129071,
258,-0.03293532133,258,-0.3973644674,258,0.2582075596,
259,-0.03464779258,259,-0.3968761861,259,0.2592023015,
260,-0.03660491109,260,-0.3963879049,260,0.2601970434,
261,-0.03660491109,261,-0.393702358,261,0.2611917257,
262,-0.04051911831,262,-0.3949230611,262,0.2621864676,
263,-0.04198697209,263,-0.3946789205,263,0.2631812096,
264,-0.0446780026,264,-0.3944347799,264,0.2641760409,
265,-0.0473690331,265,-0.3932140768,265,0.2651709318,
266,-0.04834759235,266,-0.3915050924,266,0.2661657631,
267,-0.05030471087,267,-0.391749233,267,0.2671602666,
268,-0.05201718211,268,-0.3907726705,268,0.2681550086,
269,-0.05446356535,269,-0.3895519674,269,0.2691496015,
270,-0.05544212461,270,-0.3888195455,270,0.2701440156,
271,-0.05739924312,271,-0.3885754049,271,0.2711386085,
272,-0.06009027362,272,-0.3875988424,272,0.2721330225,
273,-0.06204739213,273,-0.3866222799,273,0.2731277049,
274,-0.06302595139,274,-0.3861339986,274,0.2741225064,
275,-0.06522768736,275,-0.3854015768,275,0.2751171887,
276,-0.06791871786,276,-0.3844250143,276,0.2761119902,
277,-0.06914192438,277,-0.3827160299,277,0.2771066725,
278,-0.07060974836,278,-0.3822277486,278,0.278101325,
279,-0.07256686687,279,-0.381983608,279,0.279096067,
280,-0.07452398539,280,-0.3814953268,280,0.2800908983,
281,-0.07599180937,281,-0.3795422018,281,0.2810856402,
282,-0.07819357514,282,-0.3788097799,282,0.2820805609,
283,-0.08015069366,283,-0.3783214986,283,0.2830755413,
284,-0.08235242963,284,-0.3773449361,284,0.2840703428,
285,-0.08284172416,285,-0.3753918111,285,0.2850653231,
286,-0.08504348993,286,-0.3751476705,286,0.2860601544,
287,-0.08748987317,287,-0.3744152486,287,0.2870550752,
288,-0.08969160914,288,-0.3731945455,288,0.2880500555,
289,-0.09042555094,289,-0.372217983,289,0.2890449464,
290,-0.09238263965,290,-0.3717297018,290,0.2900399268,
291,-0.09482905269,291,-0.3707531393,291,0.2910350561,
292,-0.09654152393,292,-0.3692882955,292,0.2920302153,
293,-0.09776473045,293,-0.3685558736,293,0.293025434,
294,-0.0994772017,294,-0.3673351705,294,0.2940204144,
295,-0.1019235849,295,-0.366358608,295,0.2950154841,
296,-0.1036360562,296,-0.3646496236,296,0.2960106134,
297,-0.1043699682,297,-0.3636730611,297,0.2970058322,
298,-0.1070609987,298,-0.3626964986,298,0.2980009913,
299,-0.1092627645,299,-0.3622082174,299,0.2989960313,
300,-0.1099966764,300,-0.3595226705,300,0.2999913394,
301,-0.1114645302,301,-0.3587902486,301,0.3009866476,
302,-0.1136662662,302,-0.3583019674,302,0.3019818664,
303,-0.116601944,303,-0.3578136861,303,0.3029771745,
304,-0.116601944,304,-0.3553722799,304,0.3039724529,
