x0000,y0000
0,-6.168708205e-05,
0.005,-8.564349264e-05,
0.01,-0.0003124149516,
0.015,-0.0004252232611,
0.02,-0.0004318654537,
0.025,-0.0006772875786,
0.03,-0.000558167696,
0.035,-0.0008943490684,
0.04,-0.0009258128703,
0.045,-0.0008233636618,
0.05,-0.001190710813,
0.055,-0.001255106181,
0.06,-0.001255311072,
0.065,-0.001434266567,
0.07,-0.001447945833,
0.075,-0.001325540245,
0.08,-0.001301951706,
0.085,-0.001437030733,
0.09,-0.001119211316,
0.095,-0.001021444798,
0.1,-0.0009228885174,
0.105,-0.0007678791881,
0.11,-0.0005494430661,
0.115,-0.0006378665566,
0.12,-0.0005278140306,
0.125,-0.0002789646387,
0.13,-0.0004704743624,
0.135,-0.0003041476011,
0.14,-0.0001132786274,
0.145,-0.000286474824,
0.15,-0.0003581494093,
0.155,0.0002489984035,
0.16,-0.0002099424601,
0.165,-0.0003133714199,
0.17,0.0004996359348,
0.175,-0.00011703372,
0.18,-0.0001934319735,
0.185,-0.0007488578558,
0.19,7.137656212e-06,
0.195,-0.0002859383821,
0.2,-6.079673767e-05,
0.205,-6.274878979e-05,
0.21,-0.0004918724298,
0.215,-0.0002986341715,
0.22,-6.067752838e-05,
0.225,-0.0007359534502,
0.23,-0.0007393211126,
0.235,-0.0001998692751,
0.24,-0.0009295642376,
0.245,-0.001004874706,
0.25,-0.001478970051,
0.255,-0.001241743565,
0.26,-0.00133150816,
0.265,-0.001122117043,
0.27,-0.001372665167,
0.275,-0.001610666513,
0.28,-0.001421064138,
0.285,-0.001584947109,
0.29,-0.001893281937,
0.295,-0.001692593098,
0.3,-0.001685887575,
0.305,-0.002141296864,
0.31,-0.001874923706,
0.315,-0.001523405313,
0.32,-0.00222375989,
0.325,-0.00207439065,
0.33,-0.001948654652,
0.335,-0.001821279526,
0.34,-0.001533925533,
0.345,-0.0009419023991,
0.35,-0.001210331917,
0.355,-0.001195222139,
0.36,-0.0005860924721,
0.365,-0.0007513463497,
0.37,-0.0008588731289,
0.375,-0.0003119111061,
0.38,-0.0002587735653,
0.385,-0.0004820227623,
0.39,0.0001174211502,
0.395,0.0002710819244,
0.4,-0.0002152621746,
0.405,8.320808411e-05,
0.41,0.0007305145264,
0.415,0.0001848638058,
0.42,0.0002691447735,
0.425,0.0006540715694,
0.43,0.0003990232944,
0.435,0.0004778504372,
0.44,0.000307559967,
0.445,0.0004606842995,
0.45,0.0004937648773,
0.455,0.0005491673946,
0.46,0.0005257129669,
0.465,0.0003846883774,
0.47,0.0004291832447,
0.475,0.0002834200859,
0.48,0.0001420676708,
0.485,0.0001154243946,
0.49,0.0003837943077,
0.495,-5.918741226e-05,
0.5,-4.374980927e-05,
0.505,-7.647275925e-05,
0.51,-9.405612946e-05,
0.515,-0.000365793705,
0.52,-0.000573694706,
0.525,-0.0005933046341,
0.53,-0.0006668567657,
0.535,-0.0006700158119,
0.54,-0.0009679794312,
0.545,-0.0008954405785,
0.55,-0.001050233841,
0.555,-0.001305282116,
0.56,-0.001152157784,
0.565,-0.001276791096,
