x0000,y0000
0,0.0005397796631,
1,0.001709610224,
2,0.002267628908,
3,0.003235608339,
4,0.004390120506,
5,0.005444794893,
6,0.006115496159,
7,0.00715982914,
8,0.008680671453,
9,0.009197831154,
10,0.009906888008,
11,0.01095405221,
12,0.01178070903,
13,0.0130405724,
14,0.01375159621,
15,0.01491525769,
16,0.01591685414,
17,0.01691105962,
18,0.01775759459,
19,0.01883468032,
20,0.02019616961,
21,0.02055606246,
22,0.02151495218,
23,0.02274215221,
24,0.02378037572,
25,0.0244012475,
26,0.02531990409,
27,0.02668476105,
28,0.02765247226,
29,0.02826860547,
30,0.02939626575,
31,0.03077065945,
32,0.03145197034,
33,0.03215929866,
34,0.03320348263,
35,0.03451237082,
36,0.03517311811,
37,0.03591910005,
38,0.03723210096,
39,0.03856956959,
40,0.0389945507,
41,0.03987374902,
42,0.04107013345,
43,0.04241085052,
44,0.04285469651,
45,0.04384887218,
46,0.04511740804,
47,0.04624071717,
48,0.04690158367,
49,0.04791066051,
50,0.04908227921,
51,0.05007913709,
52,0.05068576336,
53,0.05187135935,
54,0.0534953773,
55,0.0538328588,
56,0.05472323298,
57,0.05579671264,
58,0.05732125044,
59,0.05780440569,
60,0.05861112475,
61,0.0599912405,
62,0.06145694852,
63,0.0620059073,
64,0.06281089783,
65,0.06397369504,
66,0.06523552537,
67,0.06575459242,
68,0.06667998433,
69,0.06757479906,
70,0.06930741668,
71,0.06978464127,
72,0.07091882825,
73,0.07181054354,
74,0.07309997082,
75,0.07381653786,
76,0.07496801019,
77,0.07512846589,
78,0.07699921727,
79,0.07777702808,
80,0.07911780477,
81,0.08055895567,
82,0.08099362254,
83,0.08192819357,
84,0.08315750957,
85,0.08445763588,
86,0.08498731256,
87,0.08596524596,
88,0.08735150099,
89,0.08839124441,
90,0.08907961845,
91,0.09022057056,
92,0.09143295884,
93,0.09236112237,
94,0.09303116798,
95,0.09411367774,
96,0.0947162509,
97,0.09639003873,
98,0.09711503983,
99,0.09822723269,
100,0.0997364521,
101,0.1002209485,
102,0.1011697054,
103,0.1024055779,
104,0.1038118005,
105,0.1044618189,
106,0.105404675,
107,0.1065810025,
108,0.1078199446,
109,0.1082267165,
110,0.1094048321,
111,0.1107020676,
112,0.1117694676,
113,0.1124665439,
114,0.1135189533,
115,0.1153070331,
116,0.1155423224,
117,0.1162876189,
118,0.1175233424,
119,0.1187936068,
120,0.1196521819,
121,0.1206000745,
122,0.1217708886,
123,0.1229921877,
124,0.1237317026,
125,0.1246149242,
126,0.1259280443,
127,0.1271412969,
128,0.1276929677,
129,0.1288239658,
130,0.1297719479,
131,0.1310746372,
132,0.131686002,
133,0.1328458786,
134,0.1341804564,
135,0.1349382997,
136,0.1357265413,
137,0.136880368,
138,0.1382874846,
139,0.1388396323,
140,0.1399437487,
141,0.1412114203,
142,0.1425937116,
143,0.1430614889,
144,0.1439479291,
145,0.1450580955,
146,0.1465573609,
147,0.1469946802,
148,0.148004204,
149,0.1493016183,
150,0.1504389942,
151,0.150865823,
152,0.1520181894,
153,0.1533899009,
154,0.1544266641,
155,0.1550985873,
156,0.1562132537,
157,0.1573629677,
158,0.1582537591,
159,0.1589941084,
160,0.1602524221,
161,0.1619299352,
162,0.1620052457,
163,0.1631802619,
164,0.1642231643,
165,0.1657139361,
166,0.1661501229,
167,0.1671073139,
168,0.1683367491,
169,0.1696439683,
170,0.1701212525,
171,0.171258986,
172,0.17251876,
173,0.1735733151,
174,0.1740877628,
175,0.1752974689,
176,0.1765045226,
177,0.1774870157,
178,0.1780688167,
179,0.1793517172,
180,0.1796119809,
181,0.1816315353,
182,0.1820732057,
183,0.1832480133,
184,0.1836675406,
185,0.1852684617,
186,0.1862018406,
187,0.1874054372,
188,0.1887831092,
189,0.1890445948,
190,0.190174073,
191,0.1913356483,
192,0.1926003098,
193,0.1930813789,
194,0.1942047775,
195,0.1954444349,
196,0.1965385675,
197,0.1970136762,
198,0.1981680691,
199,0.1995771229,
200,0.2003565729,
201,0.2010193169,
202,0.2022017837,
203,0.2029772401,
204,0.2040885091,
205,0.2049723864,
206,0.2062348425,
207,0.2075172663,
208,0.2081263363,
209,0.2089092135,
210,0.2101911604,
211,0.2114698291,
212,0.2119820118,
213,0.2129949927,
214,0.2141702771,
215,0.2154755294,
216,0.2158944607,
217,0.2169034183,
218,0.2182389498,
219,0.2192005217,
220,0.2197892666,
221,0.2210461497,
222,0.2224545777,
223,0.2229969501,
224,0.2237600982,
225,0.2249214947,
226,0.2260941863,
227,0.2268138826,
228,0.2277295291,
229,0.2289685607,
230,0.2302053273,
231,0.2307803035,
232,0.2318525314,
233,0.2330056429,
234,0.2340810299,
235,0.2347409725,
236,0.2355632782,
237,0.2366373539,
238,0.2379697561,
239,0.2386261225,
240,0.2396022677,
241,0.2409232855,
242,0.2417730093,
243,0.2425144315,
244,0.2434767485,
245,0.2446534634,
246,0.2456541061,
247,0.2462291718,
248,0.2475421429,
249,0.2487436533,
250,0.2495545149,
251,0.2502721548,
252,0.2515084743,
253,0.252695322,
254,0.2533011436,
255,0.2541995049,
256,0.2554785013,
257,0.2566944361,
258,0.2573450208,
259,0.2583332062,
260,0.2594823837,
261,0.2603663206,
262,0.2612221241,
263,0.2621120811,
264,0.2632912397,
265,0.2641990185,
266,0.2651495934,
267,0.2661144733,
268,0.2674897909,
269,0.2680650353,
270,0.2689663172,
271,0.2700457573,
272,0.2711237669,
273,0.2719273567,
274,0.2728046179,
275,0.273960948,
276,0.2750808001,
277,0.2758279443,
278,0.2768472433,
279,0.2778184414,
280,0.2789327502,
281,0.2796364427,
282,0.2807332873,
283,0.2817517519,
284,0.2827416658,
285,0.2836282849,
286,0.2846444845,
287,0.2851837873,
288,0.2866095304,
289,0.287519455,
290,0.2884564996,
291,0.2892018557,
292,0.2904942036,
293,0.291413188,
294,0.2924243212,
295,0.2936489582,
296,0.2944042683,
297,0.2955214977,
298,0.2966140509,
299,0.2975496054,
300,0.2985475659,
301,0.2994018793,
302,0.3004045486,
303,0.3015414476,
304,0.3024289012,
305,0.3033899069,
306,0.3045706749,
307,0.3055671453,
308,0.3064900637,
309,0.3073750138,
310,0.3084087372,
311,0.3095257282,
312,0.3104829192,
313,0.311550498,
314,0.3127377033,
315,0.3135669231,
316,0.3145924807,
317,0.3156865239,
318,0.3166621923,
319,0.3175692558,
320,0.3188001513,
321,0.3196923733,
322,0.3206288815,
323,0.3216109276,
324,0.3225543499,
325,0.323699832,
326,0.3246608973,
327,0.3255775571,
328,0.3265857697,
329,0.3278131485,
330,0.3288602829,
331,0.3297740817,
332,0.3307532072,
333,0.3318142891,
334,0.3327653408,
335,0.3338572979,
336,0.3348152637,
337,0.3358520269,
338,0.3369159698,
339,0.3378719091,
340,0.3389550447,
341,0.3399752378,
342,0.3408533335,
343,0.3419222236,
344,0.342969656,
345,0.3441886902,
346,0.344951272,
347,0.346024394,
348,0.3469637036,
349,0.3480679989,
350,0.3490570784,
351,0.3500657082,
352,0.351110816,
353,0.3521547318,
354,0.353092134,
355,0.3542041779,
356,0.35525769,
357,0.3562465906,
358,0.3571807146,
359,0.3582890034,
360,0.359228909,
361,0.3602781296,
362,0.3612653017,
363,0.3623663187,
364,0.3633182049,
365,0.3641408682,
366,0.3654044867,
367,0.3663971424,
368,0.3672975302,
369,0.3685162067,
370,0.3694467545,
371,0.3703234792,
372,0.3713907003,
373,0.3723838329,
374,0.3734798431,
375,0.3745355606,
376,0.3755176067,
377,0.3766466379,
378,0.3775707483,
379,0.3784934282,
380,0.3796807528,
381,0.3804882765,
382,0.3815248013,
383,0.3825781345,
384,0.3837581277,
385,0.3847239017,
386,0.3856151104,
387,0.3865504265,
388,0.387740612,
389,0.3887692094,
390,0.3897259235,
391,0.3906266093,
392,0.3918610811,
393,0.3927438855,
394,0.3937155008,
395,0.394791007,
396,0.395724535,
397,0.3968820572,
398,0.3980234265,
399,0.3987922072,
400,0.3997216225,
401,0.4009051323,
402,0.4016148448,
403,0.402962327,
404,0.4038873911,
405,0.40495646,
406,0.405800879,
407,0.406979084,
408,0.4078623056,
409,0.4088175297,
410,0.4097412825,
411,0.4109946489,
412,0.411944747,
413,0.4127545357,
414,0.4137891531,
415,0.4149338603,
416,0.4159185886,
417,0.417149663,
418,0.4177767038,
419,0.4189860821,
420,0.4197366238,
421,0.4207430482,
422,0.421874404,
423,0.4229557514,
424,0.4238216877,
425,0.4245998263,
426,0.4257078171,
427,0.426803112,
428,0.4276137352,
429,0.4285200834,
430,0.4296878576,
431,0.4307003021,
432,0.4314258695,
433,0.4324669242,
434,0.4335054755,
435,0.4344888926,
436,0.4351713657,
437,0.4362350106,
438,0.4376112223,
439,0.4384545684,
440,0.4395108223,
441,0.4402402639,
442,0.4415758848,
443,0.4423116446,
444,0.4431846738,
445,0.4441629648,
446,0.4452329874,
447,0.4460683465,
448,0.4467437863,
449,0.4481066465,
450,0.4491702318,
451,0.4499413967,
452,0.4507946968,
453,0.4519691467,
454,0.4530768394,
455,0.4537791014,
456,0.4548826814,
457,0.4559748173,
458,0.4569724202,
459,0.4575765133,
460,0.4587005377,
461,0.459871769,
462,0.4608895779,
463,0.4616712332,
464,0.4626603127,
465,0.463847518,
466,0.4646880627,
467,0.4654051065,
468,0.4667042494,
469,0.4678702354,
470,0.4686319828,
471,0.4694305658,
472,0.4706585407,
473,0.4718251228,
474,0.4724798203,
475,0.473290503,
476,0.4745241404,
477,0.4755961299,
478,0.4762569666,
479,0.47747612,
480,0.4787122011,
481,0.4796974659,
482,0.4801070094,
483,0.481502533,
484,0.482652247,
485,0.4835506678,
486,0.484121263,
487,0.4854484797,
488,0.486508131,
489,0.4874067307,
490,0.4882295132,
491,0.4893932939,
492,0.4906955957,
493,0.4913557768,
494,0.4920332432,
495,0.4935084581,
496,0.494579494,
497,0.4960082769,
498,0.4962540865,
499,0.497481823,
500,0.4983720183,
501,0.4990341663,
502,0.5003982782,
503,0.5014491081,
504,0.5023561716,
505,0.5033670664,
506,0.5043913722,
507,0.5053554773,
508,0.506423831,
509,0.5068970919,
510,0.5084654093,
511,0.5093564391,
512,0.5102757215,
513,0.511095047,
514,0.5125655532,
515,0.5134521723,
516,0.5141295791,
517,0.5150375962,
518,0.5164399743,
519,0.5173591375,
520,0.5181177258,
521,0.5191745162,
522,0.5204725266,
523,0.5213099718,
524,0.5225548148,
525,0.5232930183,
526,0.5244839191,
527,0.5253202319,
528,0.5258523226,
529,0.5274708867,
530,0.528573513,
531,0.5292996168,
532,0.5299233794,
533,0.5315369368,
534,0.5326051116,
535,0.5333861113,
536,0.5342481136,
537,0.5354685187,
538,0.5365867615,
539,0.5373468399,
540,0.538118124,
541,0.5397481918,
542,0.5407426357,
543,0.5413708687,
544,0.5423511863,
545,0.5438184738,
546,0.5446736813,
547,0.546569109,
548,0.546687305,
549,0.5478013754,
550,0.5485454202,
551,0.5503517389,
552,0.5507152081,
553,0.5516369939,
554,0.5527074933,
555,0.5533312559,
556,0.5548830628,
557,0.5559152961,
558,0.5567258596,
559,0.5575455427,
560,0.5592037439,
561,0.5599359274,
562,0.5606470108,
563,0.5617703795,
564,0.563126564,
565,0.5639665127,
566,0.5646132827,
567,0.5658459663,
568,0.5672647357,
569,0.5680283308,
570,0.5696982741,
571,0.57018888,
572,0.5712740421,
573,0.5721920729,
574,0.5727111101,
575,0.574344039,
576,0.5754202604,
577,0.5762230754,
578,0.5768698454,
579,0.5784025192,
580,0.5794504285,
581,0.5801898837,
582,0.5810100436,
583,0.5826523304,
584,0.5833802819,
585,0.584174931,
586,0.5853863955,
587,0.586853385,
588,0.5875638723,
589,0.5877828002,
590,0.5896213651,
591,0.5907926559,
592,0.5916925669,
593,0.5930457115,
594,0.5938879848,
595,0.5949639082,
596,0.5957882404,
597,0.5967901945,
598,0.5979390144,
599,0.5990632772,
600,0.5997598171,
601,0.6005060673,
602,0.6021600962,
603,0.6032176018,
604,0.6038566828,
605,0.6047320366,
606,0.6062579155,
607,0.6072511673,
608,0.6077817678,
609,0.6088982224,
610,0.6103528738,
611,0.6112843752,
612,0.6117686629,
613,0.6131792665,
614,0.6145102978,
615,0.6153279543,
616,0.616145134,
617,0.6172823906,
618,0.6186119914,
619,0.6193311214,
620,0.6198385954,
621,0.6215688586,
622,0.6226451993,
623,0.6235613823,
624,0.6239632368,
625,0.6256023645,
626,0.6266462207,
627,0.6273379326,
628,0.6282150149,
629,0.6297383308,
630,0.6308272481,
631,0.6311500072,
632,0.6324994564,
633,0.6338054538,
634,0.6348826289,
635,0.6350569725,
636,0.6367852688,
637,0.6380246878,
638,0.6388496161,
639,0.639469862,
640,0.6406683922,
641,0.642082274,
642,0.6428619623,
643,0.64328444,
644,0.6449881792,
645,0.6460933089,
646,0.6467350721,
647,0.6474932432,
648,0.6491894722,
649,0.6501220465,
650,0.651190877,
651,0.6517264843,
652,0.6532303095,
653,0.6542313099,
654,0.6548152566,
655,0.6558140516,
656,0.65726161,
657,0.6581847072,
658,0.6587438583,
659,0.6599658728,
660,0.6612526178,
661,0.6620662808,
662,0.6625230312,
663,0.6641210318,
664,0.6652038097,
665,0.6659513712,
666,0.6665481329,
667,0.6681129932,
668,0.6691924334,
669,0.6698809862,
670,0.6706338525,
671,0.6720771194,
672,0.6730085611,
673,0.6737519503,
674,0.6745765209,
675,0.6760621667,
676,0.6770057678,
677,0.6774924994,
678,0.6786964536,
679,0.6799272299,
680,0.6807873249,
681,0.6811327338,
682,0.6827786565,
683,0.6839932799,
684,0.6846722364,
685,0.6851080656,
686,0.6865968108,
687,0.687730372,
688,0.6885118484,
689,0.6892011166,
690,0.6905106306,
691,0.6914128065,
692,0.6922932863,
693,0.6931980848,
694,0.6944972873,
695,0.6956101656,
696,0.6967698336,
