x0000,y0000
0,0.004981977399,
0.005,0.00999086909,
0.01,0.01499880943,
0.015,0.02000603452,
0.02,0.02501325868,
0.025,0.0300204847,
0.03,0.0350269936,
0.035,0.04003175721,
0.04,0.0450338237,
0.045,0.05003413931,
0.05,0.05503255129,
0.055,0.06002969295,
0.06,0.06502579898,
0.065,0.07002063841,
0.07,0.07501460612,
0.075,0.0800069049,
0.08,0.08499690145,
0.085,0.08998491615,
0.09,0.09497173131,
0.095,0.09995744377,
0.1,0.1049416438,
0.105,0.10992378,
0.11,0.1149047241,
0.115,0.1198834479,
0.12,0.1248600259,
0.125,0.1298356503,
0.13,0.1348114312,
0.135,0.139787212,
0.14,0.144762367,
0.145,0.1497364789,
0.15,0.1547092497,
0.155,0.1596805155,
0.16,0.1646506637,
0.165,0.1696201712,
0.17,0.1745894402,
0.175,0.1795589626,
0.18,0.1845282316,
0.185,0.1894971877,
0.19,0.194465667,
0.195,0.1994339824,
0.2,0.2044024765,
0.205,0.2093714327,
0.21,0.2143406272,
0.215,0.2193098217,
0.22,0.2242788523,
0.225,0.2292479724,
0.23,0.2342170775,
0.235,0.2391865999,
0.24,0.2441575378,
0.245,0.2491307855,
0.25,0.2541046441,
0.255,0.2590795755,
0.26,0.2640551925,
0.265,0.2690311968,
0.27,0.2740076184,
0.275,0.2789847553,
0.28,0.283963263,
0.285,0.2889434099,
0.29,0.2939245701,
0.295,0.2989060879,
0.3,0.3038883805,
0.305,0.3088708222,
0.31,0.3138540685,
0.315,0.3188377321,
0.32,0.3238225579,
0.325,0.3288080394,
0.33,0.333793819,
0.335,0.3387788236,
0.34,0.3437642157,
0.345,0.3487499952,
0.35,0.3537367284,
0.355,0.3587246835,
0.36,0.3637138605,
0.365,0.368704021,
0.37,0.3736945093,
0.375,0.3786841929,
0.38,0.383672893,
0.385,0.3886619508,
0.39,0.393651545,
0.395,0.3986417949,
0.4,0.4036325812,
0.405,0.4086235166,
0.41,0.4136148691,
0.415,0.4186062813,
0.42,0.4235977232,
0.425,0.4285900295,
0.43,0.4335827827,
0.435,0.4385761917,
0.44,0.4435696006,
0.445,0.4485629499,
0.45,0.453556031,
0.455,0.4585493803,
0.46,0.4635430872,
0.465,0.4685380161,
0.47,0.4735345244,
0.475,0.4785317481,
0.48,0.4835289717,
0.485,0.4885261953,
0.49,0.4935230911,
0.495,0.4985203743,
0.5,0.5035182238,
0.505,0.5085169077,
0.51,0.5135171413,
0.515,0.5185183287,
0.52,0.5235204697,
0.525,0.5285233259,
0.53,0.5335272551,
0.535,0.5385329723,
0.54,0.5435404778,
0.545,0.5485489368,
0.55,0.553558588,
0.555,0.5585686564,
0.56,0.5635792017,
0.565,0.5685911179,
0.57,0.5736051798,
0.575,0.5786216259,
0.58,0.583640337,
0.585,0.5886605382,
0.59,0.5936809778,
0.595,0.5987024307,
0.6,0.6037241817,
0.605,0.608746171,
0.61,0.6137691736,
0.615,0.6187936664,
0.62,0.6238194704,
0.625,0.6288459897,
0.63,0.6338721514,
0.635,0.638898313,
0.64,0.6439239383,
0.645,0.6489495039,
0.65,0.6539752483,
0.655,0.659000814,
0.66,0.6640262604,
0.665,0.6690505147,
0.67,0.6740735769,
0.675,0.6790961623,
0.68,0.6841183305,
0.685,0.6891413927,
0.69,0.6941651702,
0.695,0.6991888285,
0.7,0.7042120099,
0.705,0.7092340589,
0.71,0.7142540812,
0.715,0.7192726731,
0.72,0.7242907286,
0.725,0.729308784,
0.73,0.7343262434,
0.735,0.7393427491,
0.74,0.7443583012,
0.745,0.7493733168,
0.75,0.7543868423,
0.755,0.7593993545,
0.76,0.7644115686,
0.765,0.7694236636,
0.77,0.7744351625,
0.775,0.7794460654,
0.78,0.7844561338,
0.785,0.7894653678,
0.79,0.7944739461,
0.795,0.7994831204,
0.8,0.8044935465,
0.805,0.8095040917,
0.81,0.8145140409,
0.815,0.8195233941,
0.82,0.8245320916,
0.825,0.8295400739,
0.83,0.8345479965,
0.835,0.8395558596,
0.84,0.8445658684,
0.845,0.8495759964,
0.85,0.854585886,
0.855,0.859596014,
0.86,0.8646057844,
0.865,0.8696160913,
0.87,0.8746272326,
0.875,0.8796393275,
0.88,0.8846516013,
0.885,0.8896636963,
0.89,0.8946751952,
0.895,0.8996861577,
0.9,0.9046976566,
0.905,0.9097102284,
0.91,0.914724648,
0.915,0.9197392464,
0.92,0.92475456,
0.925,0.9297699332,
0.93,0.9347848296,
0.935,0.9397982359,
0.94,0.9448128939,
0.945,0.9498273134,
0.95,0.954842329,
0.955,0.9598573446,
0.96,0.9648725986,
0.965,0.9698875546,
0.97,0.974901855,
0.975,0.9799152613,
0.98,0.9849283695,
0.985,0.9899416566,
0.99,0.9949543476,
0.995,0.999966085,
1,0.004977292847,
1.005,0.009986661375,
1.01,0.01499523595,
1.015,0.02000357211,
1.02,0.02501190826,
1.025,0.03001984954,
1.03,0.03502731025,
1.035,0.04003342614,
1.04,0.04503739625,
1.045,0.05003906041,
1.05,0.05503921956,
1.055,0.06003803015,
1.06,0.06503604352,
1.065,0.07003262639,
1.07,0.07502730936,
1.075,0.0800203234,
1.08,0.08501135558,
1.085,0.09000047296,
1.09,0.09498809278,
1.095,0.09997459501,
1.1,0.1049593464,
1.105,0.1099420413,
1.11,0.1149225906,
1.115,0.119900994,
1.12,0.1248778924,
1.125,0.1298535168,
1.13,0.1348284185,
1.135,0.1398038119,
1.14,0.1447784007,
1.145,0.1497513354,
1.15,0.1547225863,
1.155,0.159692347,
1.16,0.1646611392,
1.165,0.1696293056,
1.17,0.1745974571,
1.175,0.1795655489,
1.18,0.1845330745,
1.185,0.1895002872,
1.19,0.1944672614,
1.195,0.1994338334,
1.2,0.2044002414,
1.205,0.209367618,
1.21,0.2143353075,
1.215,0.219303146,
1.22,0.2242711484,
1.225,0.2292390019,
1.23,0.2342071533,
1.235,0.2391759604,
1.24,0.2441461086,
1.245,0.2491183132,
1.25,0.2540921867,
1.255,0.2590669394,
1.26,0.2640423179,
1.265,0.269018501,
1.27,0.2739946246,
1.275,0.2789712548,
1.28,0.2839498222,
1.285,0.2889300585,
1.29,0.2939112484,
1.295,0.2988931537,
1.3,0.3038755953,
1.305,0.3088582754,
1.31,0.3138414621,
1.315,0.3188256621,
1.32,0.3238112032,
1.325,0.3287970722,
1.33,0.3337826133,
1.335,0.338767767,
1.34,0.3437530994,
1.345,0.3487389684,
1.35,0.353725791,
1.355,0.3587140441,
1.36,0.3637037873,
1.365,0.3686942756,
1.37,0.3736849725,
1.375,0.3786757588,
1.38,0.3836651146,
1.385,0.3886552751,
1.39,0.3936459124,
1.395,0.398637414,
1.4,0.4036295414,
1.405,0.4086216092,
1.41,0.413613826,
1.415,0.4186062217,
1.42,0.4235987365,
1.425,0.4285921752,
1.43,0.4335861206,
1.435,0.438580662,
1.44,0.4435751736,
1.445,0.448569864,
1.45,0.453564465,
1.455,0.4585596025,
1.46,0.4635552466,
1.465,0.468551904,
1.47,0.4735497534,
1.475,0.4785483479,
1.48,0.4835468233,
1.485,0.488545239,
1.49,0.4935433269,
1.495,0.4985416532,
1.5,0.5035403967,
1.505,0.5085403323,
1.51,0.5135415196,
1.515,0.5185435414,
1.52,0.5235463381,
1.525,0.5285491943,
1.53,0.5335527658,
1.535,0.5385580063,
1.54,0.5435647368,
1.545,0.5485727191,
1.55,0.5535815358,
1.555,0.5585909486,
1.56,0.5636008978,
1.565,0.5686116219,
1.57,0.5736235976,
