x0000,y0000,x0001,y0001,x0002,y0002
0,-0.05434688926,0,0.4286989868,0,0.0009527439252,
1,-0.05703243613,1,0.4279650748,1,0.00195463351,
2,-0.05996212363,2,0.4279650748,2,0.002956443699,
3,-0.06167110801,3,0.4264971912,3,0.003958253656,
4,-0.06435665488,4,0.4272311628,4,0.004960063845,
5,-0.06728634238,5,0.4262525737,5,0.0059618745,
6,-0.07046017051,6,0.4238061607,6,0.006963525899,
7,-0.07241329551,7,0.4245401323,7,0.007965177298,
8,-0.07461056113,8,0.4252740443,8,0.008966590278,
9,-0.07778438926,9,0.4247847497,9,0.009968241677,
10,-0.08046993613,10,0.4250293672,10,0.01096965466,
11,-0.08315548301,11,0.4230722487,11,0.01197106857,
12,-0.08535274863,12,0.4233169258,12,0.01297240239,
13,-0.08803829551,13,0.4228276312,13,0.01397365704,
14,-0.08828243613,14,0.4242954552,14,0.01497491077,
15,-0.09316524863,15,0.4206258953,15,0.01597616449,
16,-0.09560665488,16,0.4206258953,16,0.01697733998,
17,-0.09804806113,17,0.4198919833,17,0.01797859557,
18,-0.1012218893,18,0.4194026887,18,0.0189797692,
19,-0.1034191549,19,0.4179348648,19,0.01998102479,
20,-0.1058605611,20,0.4181794822,20,0.02098227851,
21,-0.108546108,21,0.4174455702,21,0.02198353224,
22,-0.1117199361,22,0.4145099223,22,0.02298478782,
23,-0.1134289205,23,0.4152438343,23,0.02398596331,
24,-0.1156261861,24,0.4152438343,24,0.02498721704,
25,-0.1185558736,25,0.4145099223,25,0.02598839253,
26,-0.1217297018,26,0.4135313332,26,0.02698964626,
27,-0.1234386861,27,0.4118188918,27,0.02799074166,
28,-0.1256359518,28,0.4118188918,28,0.02899199724,
29,-0.1283214986,29,0.4113295972,29,0.02999309264,
30,-0.1290539205,30,0.4127974212,30,0.03099434637,
31,-0.1334484518,31,0.4088831842,31,0.03199536353,
32,-0.1356457174,32,0.4088831842,32,0.03299637884,
33,-0.1385754049,33,0.4076599777,33,0.03399731591,
34,-0.141749233,34,0.4059475362,34,0.03499817476,
35,-0.1434582174,35,0.4052136242,35,0.03599902987,
36,-0.145655483,36,0.4049689472,36,0.03699981049,
37,-0.1483410299,37,0.4039904177,37,0.03800058737,
38,-0.1512707174,38,0.4005654752,38,0.0390012078,
39,-0.1524914205,39,0.4012993872,39,0.04000190645,
40,-0.1556652486,40,0.4012993872,40,0.04100244492,
41,-0.1576183736,41,0.4000761807,41,0.04200290516,
42,-0.1615246236,42,0.3988529742,42,0.04300328717,
43,-0.1625011861,43,0.3973851502,43,0.04400358722,
44,-0.1649425924,44,0.3971405327,44,0.04500380903,
45,-0.1673839986,45,0.3959173262,45,0.04600403458,
46,-0.1688488424,46,0.3966512382,46,0.04700409621,
47,-0.1722668111,47,0.3927370012,47,0.04800407961,
48,-0.1747082174,48,0.3929816186,48,0.04900398478,
49,-0.1771496236,49,0.3915137947,49,0.05000381172,
50,-0.1805675924,50,0.3890674412,50,0.05100363493,
51,-0.1815441549,51,0.3883334696,51,0.05200338364,
52,-0.1839855611,52,0.3885781467,52,0.05300305039,
53,-0.1864269674,53,0.3868656456,53,0.05400263518,
54,-0.1896007955,54,0.3829514086,54,0.05500230193,
55,-0.1910656393,55,0.3834407032,55,0.05600180849,
56,-0.1935070455,56,0.3834407032,56,0.05700131878,
57,-0.1961925924,57,0.3814835846,57,0.05800066516,
58,-0.1991222799,58,0.3792818487,58,0.05900017545,
59,-0.2005871236,59,0.3780586421,59,0.05999952182,
60,-0.2027843893,60,0.3780586421,60,0.06099887192,
61,-0.2059582174,61,0.3765908182,61,0.06199814379,
62,-0.2069347799,62,0.3765908182,62,0.06299740821,
63,-0.210108608,63,0.3734104931,63,0.06399668008,
64,-0.212061733,64,0.3729211986,64,0.06499586999,
65,-0.2149914205,65,0.3712087572,65,0.06599505991,
66,-0.217921108,66,0.3685177267,66,0.06699416786,
67,-0.2191418111,67,0.3677838147,67,0.06799328327,
68,-0.2210949361,68,0.3670499027,68,0.06899223477,
