x0000,y0000
0,0.9962451458,
1,0.9962630272,
2,0.9962550402,
3,0.9962270856,
4,0.9961904287,
5,0.9961694479,
6,0.9961587191,
7,0.9961572289,
8,0.9961681962,
9,0.9961928129,
10,0.9962135553,
11,0.9962246418,
12,0.9962444305,
13,0.9962631464,
14,0.9962874651,
15,0.9963257909,
16,0.9963382483,
17,0.9963539243,
18,0.9963921309,
19,0.9964394569,
20,0.9964897633,
21,0.9965517521,
22,0.9966332316,
23,0.9967113733,
24,0.9967781901,
25,0.9968536496,
26,0.9969291687,
27,0.9969946742,
28,0.997061789,
29,0.9971311092,
30,0.997215569,
31,0.9972811341,
32,0.997340858,
33,0.9974007607,
34,0.9974483848,
35,0.9974828362,
36,0.9975171685,
37,0.9975585341,
38,0.9975870848,
39,0.9976121783,
40,0.9976353049,
41,0.9976650476,
42,0.9977087379,
43,0.9977406859,
44,0.9977508187,
45,0.9977583885,
46,0.9977103472,
47,0.9976627827,
48,0.9977160692,
49,0.997739017,
50,0.9978091717,
51,0.9977697134,
52,0.9977186322,
53,0.9977149367,
54,0.9977261424,
55,0.9977490306,
56,0.9977704287,
57,0.9977878928,
58,0.9978116751,
59,0.9978379011,
60,0.9978727102,
61,0.9979223609,
62,0.9979670048,
63,0.9980162382,
64,0.9980572462,
65,0.9980970025,
66,0.9981440306,
67,0.998185575,
68,0.9982241392,
69,0.9982654452,
70,0.9983190894,
71,0.9983512759,
72,0.9983828664,
73,0.9984069467,
74,0.9984438419,
75,0.9984787107,
76,0.9984962344,
77,0.9985172153,
78,0.9985479712,
79,0.9985931516,
80,0.9986322522,
81,0.9986578226,
82,0.9986808896,
83,0.998714745,
84,0.9987453222,
85,0.9987691045,
86,0.9987840056,
87,0.9987748265,
88,0.9987664819,
89,0.9987627268,
90,0.9987654686,
91,0.998786211,
92,0.9988353252,
93,0.9988996387,
94,0.9989625812,
95,0.9990205765,
96,0.9990847707,
97,0.9991353154,
98,0.9991930127,
99,0.9992372394,
100,0.9992781878,
101,0.9993309379,
102,0.9993915558,
103,0.9994322062,
104,0.9994776249,
105,0.9995313883,
106,0.9995622635,
107,0.9995908737,
108,0.999612689,
109,0.9996477365,
110,0.9996675253,
111,0.9996675253,
112,0.9996575713,
113,0.9996426105,
114,0.999645412,
115,0.9996432662,
116,0.9996624589,
117,0.9996711612,
118,0.9996775389,
119,0.9996438026,
120,0.9996199012,
121,0.9996297359,
122,0.9996516705,
123,0.9996535778,
124,0.9996396303,
125,0.9996641278,
126,0.9997286797,
127,0.9997675419,
128,0.9997940063,
129,0.9997981787,
130,0.999823153,
131,0.9997964501,
132,0.9997604489,
133,0.9997139573,
134,0.9997321963,
135,0.9997878671,
136,0.9998520017,
137,0.9999354482,
138,1.000052333,
139,1.000140071,
140,1.000212431,
141,1.000290751,
142,1.000358462,
143,1.000375628,
144,1.000326514,
145,1.000311613,
146,1.00033772,
147,1.000339627,
148,1.000300646,
149,1.00033164,
150,1.000361323,
151,1.000391006,
152,1.000402093,
153,1.000402808,
154,1.000415921,
155,1.000444174,
156,1.00048399,
157,1.000525355,
158,1.000573754,
159,1.000608444,
160,1.000596046,
161,1.000547886,
162,1.000482678,
163,1.000412464,
164,1.000336289,
165,1.000276327,
166,1.000262499,
167,1.00026083,
168,1.000289321,
169,1.000325561,
170,1.000313282,
171,1.000310898,
172,1.000344753,
173,1.000380635,
174,1.000419974,
175,1.000480175,
176,1.000552416,
177,1.000632524,
178,1.000682712,
179,1.000720501,
180,1.00077045,
181,1.000830173,
182,1.000889659,
183,1.000927806,
184,1.000900149,
185,1.00089252,
186,1.000925303,
187,1.000911951,
188,1.000905633,
189,1.000943899,
190,1.000954032,
191,1.000914931,
192,1.000904322,
193,1.000936389,
194,1.000934124,
195,1.000900865,
196,1.000910759,
197,1.000958681,
198,1.000964642,
199,1.000935674,
200,1.000902534,
201,1.000942349,
202,1.000990033,
203,1.001047492,
204,1.001116395,
205,1.001187086,
206,1.001245141,
207,1.001277685,
208,1.001312613,
209,1.001357436,
210,1.001419544,
211,1.001481771,
212,1.001538754,
213,1.001547933,
214,1.001514316,
215,1.001508355,
216,1.001537561,
217,1.001548171,
218,1.001565456,
219,1.001575947,
220,1.001605153,
221,1.001651883,
222,1.001705647,
223,1.001769066,
224,1.00182271,
225,1.001818538,
226,1.001778007,
227,1.001778364,
228,1.001821876,
229,1.001829028,
230,1.001788735,
231,1.001774192,
232,1.001823545,
233,1.0018574,
234,1.001850367,
235,1.001809835,
236,1.001810074,
237,1.001865506,
238,1.001911998,
239,1.001947284,
240,1.002010465,
241,1.002080441,
242,1.002140522,
243,1.002183437,
244,1.002246857,
245,1.002313495,
246,1.002379775,
247,1.002441764,
248,1.002497196,
249,1.002561331,
250,1.002660513,
251,1.002797008,
252,1.002908945,
253,1.002940536,
254,1.00289607,
255,1.002823234,
256,1.002914667,
257,1.003019214,
258,1.00312829,
259,1.003244519,
260,1.003366113,
261,1.003476739,
262,1.003446102,
263,1.003370047,
264,1.003365874,
265,1.003415227,
266,1.003451347,
267,1.003395438,
268,1.003403187,
269,1.003446698,
270,1.003421068,
271,1.003356695,
272,1.003328085,
273,1.003324509,
274,1.003359079,
275,1.003427267,
276,1.003460169,
277,1.003383279,
278,1.003389835,
279,1.003463745,
280,1.003478646,
281,1.003414869,
282,1.003466368,
283,1.003506303,
