x0000,y0000,x0001,y0001
0,0.4470469058,0,-0.1004894674,
1,0.4477808177,1,-0.102686733,
2,0.4475362003,2,-0.1056164205,
3,0.4460683763,3,-0.1087902486,
4,0.4438665807,4,-0.1114757955,
5,0.4453344643,5,-0.1134289205,
6,0.4441112578,6,-0.1166027486,
7,0.4426434338,7,-0.1195324361,
8,0.4406863153,8,-0.1229504049,
9,0.4416648448,9,-0.1244152486,
10,0.4411755502,10,-0.1273449361,
11,0.4397077262,11,-0.1302746236,
12,0.4382399023,12,-0.1334484518,
13,0.4392184317,13,-0.1356457174,
14,0.4384845197,14,-0.1380871236,
15,0.4367720783,15,-0.1407726705,
16,0.4345703423,16,-0.1439464986,
17,0.4355488718,17,-0.145655483,
18,0.4348149598,18,-0.1485851705,
19,0.4328578413,19,-0.1520031393,
20,0.4304114282,20,-0.1542004049,
21,0.4313900173,21,-0.1561535299,
22,0.4309007227,22,-0.1590832174,
23,0.4289436042,23,-0.1620129049,
24,0.4264971912,24,-0.165186733,
25,0.4277203977,25,-0.1666515768,
26,0.4262525737,26,-0.1700695455,
27,0.4250293672,27,-0.1727550924,
28,0.4228276312,28,-0.1756847799,
29,0.4233169258,29,-0.1771496236,
30,0.4220937192,30,-0.1805675924,
31,0.4201366007,31,-0.1834972799,
32,0.4179348648,32,-0.1852062643,
33,0.4181794822,33,-0.1878918111,
34,0.4172009528,34,-0.190577358,
35,0.4184240997,35,-0.1910656393,
36,0.4132867157,36,-0.1954601705,
37,0.4140206277,37,-0.1981457174,
38,0.4130420387,38,-0.2010754049,
39,0.4101063907,39,-0.2037609518,
40,0.4083938897,40,-0.206202358,
41,0.4088831842,41,-0.2086437643,
42,0.4076599777,42,-0.2118175924,
43,0.4054582417,43,-0.2145031393,
44,0.4039904177,44,-0.2162121236,
45,0.4030118287,45,-0.2191418111,
46,0.4017886817,46,-0.221827358,
47,0.3995868862,47,-0.2245129049,
48,0.3978744447,48,-0.2267101705,
49,0.3981190622,49,-0.2291515768,
50,0.3968958557,50,-0.2320812643,
51,0.3954280317,51,-0.2350109518,
52,0.3922477067,52,-0.2362316549,
53,0.3915137947,53,-0.2389172018,
54,0.3905352652,54,-0.2416027486,
55,0.3873549402,55,-0.2445324361,
56,0.3856424391,56,-0.2469738424,
57,0.3851532042,57,-0.249171108,
58,0.3841746151,58,-0.2516125143,
59,0.3812389672,59,-0.2545422018,
60,0.3792818487,60,-0.2562511861,
61,0.3797711432,61,-0.258936733,
62,0.3778140247,62,-0.2616222799,
63,0.3738997877,63,-0.2640636861,
64,0.3726765811,64,-0.2660168111,
65,0.3729211986,65,-0.2682140768,
66,0.3707194626,66,-0.2711437643,
67,0.3672945201,67,-0.274561733,
68,0.3660713136,68,-0.2752941549,
69,0.3658266962,69,-0.2779797018,
70,0.3638695776,70,-0.280421108,
71,0.3614231646,71,-0.282374233,
72,0.3587321341,72,-0.2845714986,
73,0.3584875166,73,-0.2867687643,
74,0.3567750156,74,-0.2896984518,
75,0.3531054556,75,-0.2918957174,
76,0.3518822491,76,-0.2936047018,
77,0.3509036601,77,-0.2962902486,
78,0.3491912186,78,-0.2984875143,
79,0.3487019241,79,-0.2992199361,
80,0.3438091576,80,-0.3028820455,
81,0.3438091576,81,-0.3043468893,
82,0.3413627446,82,-0.307764858,
83,0.3372038901,83,-0.3102062643,
84,0.3367145956,84,-0.3109386861,
85,0.3359806836,85,-0.3133800924,
86,0.3335342705,86,-0.3163097799,
87,0.3332896531,87,-0.3180187643,
88,0.3283968866,88,-0.3199718893,
89,0.3283968866,89,-0.3216808736,
90,0.3259504735,90,-0.3246105611,
91,0.3230148256,91,-0.3258312643,
92,0.3205684125,92,-0.3285168111,
93,0.3195898831,93,-0.3304699361,
94,0.31714347,94,-0.3326672018,
95,0.314697057,95,-0.3355968893,
96,0.3120060265,96,-0.3363293111,
97,0.3115167916,97,-0.3380382955,
98,0.308581084,98,-0.3412121236,
99,0.3044222295,99,-0.3426769674,
100,0.303199023,100,-0.3443859518,
101,0.3027097285,101,-0.3463390768,
102,0.2997740805,102,-0.3490246236,
103,0.29708305,103,-0.3514660299,
104,0.2951259315,104,-0.3519543111,
105,0.2934134901,105,-0.3548839986,
106,0.289988488,106,-0.3568371236,
107,0.289988488,107,-0.3583019674,
108,0.2860743105,108,-0.3595226705,
109,0.284117192,109,-0.3619640768,
110,0.2814261615,110,-0.3646496236,
111,0.2780011594,111,-0.3661144674,
112,0.27702263,112,-0.3668468893,
113,0.2753101289,113,-0.3690441549,
114,0.2728637755,114,-0.3709972799,
115,0.2684602439,115,-0.3729504049,
116,0.2679709494,116,-0.3734386861,
117,0.2660138905,117,-0.3763683736,
118,0.2628335655,118,-0.3785656393,
119,0.2591639459,119,-0.380030483,
120,0.258674711,120,-0.3807629049,
121,0.2569622099,121,-0.3829601705,
122,0.2537818849,122,-0.3849132955,
123,0.2506016195,123,-0.3875988424,
124,0.248644501,124,-0.3873547018,
125,0.2466873825,125,-0.389796108,
126,0.2444855869,126,-0.3915050924,
127,0.2395928204,127,-0.3929699361,
128,0.2388589084,128,-0.3941906393,
129,0.2366571724,129,-0.3958996236,
130,0.2337214649,130,-0.3978527486,
131,0.2298072278,131,-0.3985851705,
132,0.2290733159,132,-0.4000500143,
133,0.2266269624,133,-0.4017589986,
134,0.2234466374,134,-0.4039562643,
135,0.2195324004,135,-0.4051769674,
136,0.2185538709,136,-0.4061535299,
137,0.2163520753,137,-0.4078625143,
138,0.2131718099,138,-0.4088390768,
139,0.2095021904,139,-0.411280483,
140,0.2085236609,140,-0.4115246236,
141,0.2060772479,141,-0.4129894674,
142,0.2033862174,142,-0.4144543111,
143,0.1994719803,143,-0.4154308736,
144,0.1982487738,144,-0.4168957174,
145,0.1960470378,145,-0.4186047018,
146,0.1923774183,146,-0.4198254049,
147,0.1889524758,147,-0.4208019674,
148,0.1877293289,148,-0.4220226705,
149,0.1852829158,149,-0.4232433736,
150,0.1818579733,150,-0.4242199361,
151,0.1784330308,151,-0.4256847799,
152,0.1774544418,152,-0.4266613424,
153,0.1747634113,153,-0.4286144674,
154,0.1713384688,154,-0.4295910299,
155,0.1679135263,155,-0.4303234518,
156,0.1666903198,156,-0.430811733,
157,0.1639992893,157,-0.4320324361,
158,0.1603297293,158,-0.4334972799,
159,0.1566601098,159,-0.4344738424,
160,0.1561708152,160,-0.4349621236,
161,0.1532351673,161,-0.436671108,
162,0.1495655477,162,-0.4378918111,
163,0.1463852823,163,-0.4381359518,
164,0.1446727812,164,-0.4393566549,
165,0.1424710453,165,-0.440577358,
166,0.1390461028,166,-0.4420422018,
167,0.1353764832,167,-0.4420422018,
168,0.1339086592,168,-0.4432629049,
169,0.1309730113,169,-0.4442394674,
170,0.1275480688,170,-0.4454601705,
171,0.1246123612,171,-0.4454601705,
172,0.1228999197,172,-0.446436733,
173,0.1202088892,173,-0.4474132955,
174,0.1165392697,174,-0.4486339986,
175,0.1131143272,175,-0.4488781393,
176,0.1114018261,176,-0.4493664205,
177,0.1089554727,177,-0.4505871236,
178,0.1077322662,178,-0.4496105611,
179,0.1023502052,179,-0.4510754049,
180,0.1001484692,180,-0.452296108,
181,0.09745743871,181,-0.4535168111,
182,0.09403243661,182,-0.4540050924,
183,0.09109678864,183,-0.4540050924,
184,0.0886503756,184,-0.4547375143,
185,0.0859593451,185,-0.456202358,
186,0.08253440261,186,-0.4559582174,
187,0.07984337211,187,-0.456202358,
188,0.07739701867,188,-0.4574230611,
189,0.07495060563,189,-0.4576672018,
190,0.07128098607,190,-0.458155483,
191,0.06858995557,191,-0.458155483,
192,0.06638821959,192,-0.4591320455,
193,0.06345257163,193,-0.4596203268,
194,0.0602722466,194,-0.4613293111,
195,0.05733659863,195,-0.4598644674,
196,0.05537948012,196,-0.4603527486,
197,0.05219915509,197,-0.4608410299,
198,0.0487742126,198,-0.4615734518,
199,0.04534927011,199,-0.4615734518,
200,0.04363676906,200,-0.4615734518,
201,0.04045644403,201,-0.4625500143,
202,0.03678688407,202,-0.4625500143,
203,0.03434047103,203,-0.4625500143,
204,0.03213873506,204,-0.4627941549,
205,0.02944770455,205,-0.4635265768,
206,0.02577808499,206,-0.4632824361,
207,0.02284243703,207,-0.4632824361,
208,0.02088531852,208,-0.4635265768,
209,0.01794967055,209,-0.4645031393,
210,0.01305684447,210,-0.4649914205,
211,0.01158902049,211,-0.4635265768,
212,0.009142667055,212,-0.4642589986,
213,0.00645160675,213,-0.4645031393,
214,0.003271311522,214,-0.4637707174,
215,9.098649025e-05,215,-0.4642589986,
