x0000,y0000,x0001,y0001
0,0.3687623441,0,-0.06753048301,
1,0.3677838147,1,-0.07046017051,
2,0.3663159311,2,-0.07290157676,
3,0.3660713136,3,-0.07509884238,
4,0.3668052256,4,-0.07705196738,
5,0.3663159311,5,-0.07949337363,
6,0.3643588722,6,-0.08266720176,
7,0.3646034896,7,-0.08462032676,
8,0.3650927842,8,-0.08657345176,
9,0.3641141951,9,-0.08877071738,
10,0.3626463711,10,-0.09121212363,
11,0.3624017537,11,-0.09340938926,
12,0.3633802831,12,-0.09511837363,
13,0.3624017537,13,-0.09780392051,
14,0.3599553406,14,-0.1009777486,
15,0.3606892526,15,-0.1024425924,
16,0.3611785471,16,-0.1041515768,
17,0.3606892526,17,-0.1068371236,
18,0.3614231646,18,-0.1070812643,
19,0.3577536047,19,-0.1114757955,
20,0.3587321341,20,-0.1134289205,
21,0.3579982221,21,-0.1156261861,
22,0.3555518091,22,-0.1180675924,
23,0.3553071916,23,-0.1200207174,
24,0.3557964861,24,-0.122217983,
25,0.3543286622,25,-0.1246593893,
26,0.3550625741,26,-0.1268566549,
27,0.3526161611,27,-0.1290539205,
28,0.3523715436,28,-0.1312511861,
29,0.3516376317,29,-0.1334484518,
30,0.3489466012,30,-0.1361339986,
31,0.3491912186,31,-0.1375988424,
32,0.3496805131,32,-0.139796108,
33,0.3482126296,33,-0.1422375143,
34,0.3474787176,34,-0.1451672018,
35,0.3460108936,35,-0.1466320455,
36,0.3457662761,36,-0.1485851705,
37,0.3450323641,37,-0.1510265768,
38,0.3460108936,38,-0.1524914205,
39,0.3425859511,39,-0.1551769674,
40,0.3425859511,40,-0.1571300924,
41,0.3411181271,41,-0.1598156393,
42,0.3386717141,42,-0.1622570455,
43,0.3391610086,43,-0.1629894674,
44,0.3381824195,44,-0.1659191549,
45,0.3369592726,45,-0.1678722799,
46,0.3342682421,46,-0.1703136861,
47,0.3350021541,47,-0.1720226705,
48,0.3345128596,48,-0.1744640768,
49,0.3328003585,49,-0.1766613424,
50,0.330109328,50,-0.1795910299,
51,0.33084324,51,-0.1800793111,
52,0.3298647106,52,-0.1830089986,
53,0.328641504,53,-0.1852062643,
54,0.3269290626,54,-0.1874035299,
55,0.3261951506,55,-0.188624233,
56,0.3257058561,56,-0.1910656393,
57,0.323993355,57,-0.1935070455,
58,0.3217916191,58,-0.1959484518,
59,0.3213023245,59,-0.1971691549,
60,0.3210577071,60,-0.1996105611,
61,0.3195898831,61,-0.2015636861,
62,0.3161649406,62,-0.204249233,
63,0.3164095581,63,-0.2057140768,
64,0.3159202635,64,-0.2079113424,
65,0.313963145,65,-0.2105968893,
66,0.3112721145,66,-0.2123058736,
67,0.3110274971,67,-0.214014858,
68,0.3105382025,68,-0.215967983,
69,0.3090703785,69,-0.2181652486,
70,0.305645436,70,-0.2210949361,
71,0.3068686426,71,-0.221827358,
72,0.305400759,72,-0.2242687643,
73,0.303199023,73,-0.2264660299,
74,0.3005079925,74,-0.2284191549,
75,0.3012419045,75,-0.2293957174,
76,0.2997740805,76,-0.2323254049,
77,0.2973276675,77,-0.2350109518,
78,0.294881314,78,-0.2359875143,
79,0.2951259315,79,-0.237452358,
80,0.2936581075,80,-0.2403820455,
81,0.2912116945,81,-0.2425793111,
82,0.288765341,82,-0.2440441549,
83,0.289499253,83,-0.245264858,
84,0.287786752,84,-0.2477062643,
85,0.285585016,85,-0.2503918111,
86,0.2828939855,86,-0.2521007955,
87,0.282404691,87,-0.253077358,
88,0.2819153965,88,-0.2552746236,
89,0.278490454,89,-0.2577160299,
90,0.2765333354,90,-0.258936733,
91,0.2765333354,91,-0.2611339986,
92,0.275554806,92,-0.2625988424,
93,0.274820894,93,-0.2640636861,
94,0.270172745,94,-0.2665050924,
95,0.2704173625,95,-0.2679699361,
96,0.2691941559,96,-0.2696789205,
97,0.2665031254,97,-0.2718761861,
98,0.2638120949,98,-0.2735851705,
99,0.2635674775,99,-0.2748058736,
100,0.2623442709,100,-0.2767589986,
101,0.258674711,101,-0.2794445455,
102,0.2569622099,102,-0.2806652486,
103,0.2562282979,103,-0.2821300924,
104,0.254760474,104,-0.284327358,
105,0.2518247664,105,-0.2855480611,
106,0.2506016195,106,-0.2872570455,
107,0.2498676479,107,-0.2889660299,
