x0000,y0000,x0001,y0001
0,0.3694962561,0,-0.09096798301,
1,0.3704748452,1,-0.09365352988,
2,0.3685177267,2,-0.09682735801,
3,0.3670499027,3,-0.09926876426,
4,0.3680284321,4,-0.1009777486,
5,0.3680284321,5,-0.1039074361,
6,0.3663159311,6,-0.1068371236,
7,0.3646034896,7,-0.1092785299,
8,0.3658266962,8,-0.1112316549,
9,0.3653374016,9,-0.1139172018,
10,0.3646034896,10,-0.1168468893,
11,0.3624017537,11,-0.1197765768,
12,0.3636249006,12,-0.1214855611,
13,0.3631356657,13,-0.1244152486,
14,0.3619124591,14,-0.1271007955,
15,0.3601999581,15,-0.1292980611,
16,0.3606892526,16,-0.1312511861,
17,0.3599553406,17,-0.1346691549,
18,0.3584875166,18,-0.1371105611,
19,0.3562857211,19,-0.139796108,
20,0.3572643101,20,-0.141749233,
21,0.3575089276,21,-0.1441906393,
22,0.3562857211,22,-0.1466320455,
23,0.3538393676,23,-0.149561733,
24,0.3540839851,24,-0.151514858,
25,0.3540839851,25,-0.1537121236,
26,0.3526161611,26,-0.1566418111,
27,0.3506590426,27,-0.159327358,
28,0.3513929546,28,-0.161280483,
29,0.3513929546,29,-0.1637218893,
30,0.3491912186,30,-0.1664074361,
31,0.3472341001,31,-0.169092983,
32,0.3484573066,32,-0.1708019674,
33,0.3474787176,33,-0.1737316549,
34,0.3455215991,34,-0.1761730611,
35,0.3433198631,35,-0.1786144674,
36,0.3442984521,36,-0.1805675924,
37,0.3435644805,37,-0.1830089986,
38,0.3440537751,38,-0.1839855611,
39,0.3391610086,39,-0.188624233,
40,0.340139538,40,-0.190577358,
41,0.3398949206,41,-0.1930187643,
42,0.3372038901,42,-0.1961925924,
43,0.3352467716,43,-0.198389858,
44,0.3362253606,44,-0.200342983,
45,0.335491389,45,-0.2027843893,
46,0.3325557411,46,-0.206202358,
47,0.3305986226,47,-0.2079113424,
48,0.3315772116,48,-0.2096203268,
49,0.33084324,49,-0.2123058736,
