x0000,y0000,x0001,y0001
0,0.4370166957,0,-0.106592983,
1,0.4375059903,1,-0.1087902486,
2,0.4367720783,2,-0.1117199361,
3,0.4340810478,3,-0.114405483,
4,0.4353042543,4,-0.1158703268,
5,0.4350595772,5,-0.1185558736,
6,0.4340810478,6,-0.1214855611,
7,0.4313900173,7,-0.1244152486,
8,0.4335917532,8,-0.126124233,
9,0.4323685467,9,-0.1285656393,
10,0.4311453402,10,-0.1314953268,
11,0.4291882217,11,-0.1341808736,
12,0.4304114282,12,-0.1356457174,
13,0.4301668108,13,-0.1385754049,
14,0.4284543097,14,-0.141749233,
15,0.4255186617,15,-0.1444347799,
16,0.4262525737,16,-0.1463879049,
17,0.4269864857,17,-0.1485851705,
18,0.4250293672,18,-0.1512707174,
19,0.4225830138,19,-0.1542004049,
20,0.4238061607,20,-0.1556652486,
21,0.4235615432,21,-0.1581066549,
22,0.4218491018,22,-0.1615246236,
23,0.4191580117,23,-0.1634777486,
24,0.4203812182,24,-0.1646984518,
25,0.4196473062,25,-0.1681164205,
26,0.4181794822,26,-0.1700695455,
27,0.4152438343,27,-0.1734875143,
28,0.4162223637,28,-0.1751964986,
29,0.4162223637,29,-0.1771496236,
30,0.4130420387,30,-0.1803234518,
31,0.4108403027,31,-0.1822765768,
32,0.4120635092,32,-0.1844738424,
33,0.4110849202,33,-0.1869152486,
34,0.4083938897,34,-0.1900890768,
35,0.4066814482,35,-0.1922863424,
36,0.4071707428,36,-0.1942394674,
37,0.4066814482,37,-0.1969250143,
38,0.4069260657,38,-0.1976574361,
39,0.4022779167,39,-0.2013195455,
40,0.4027672112,40,-0.2035168111,
41,0.4025225937,41,-0.2064464986,
42,0.3993422687,42,-0.2088879049,
43,0.3976297677,43,-0.2110851705,
44,0.3983636796,44,-0.2130382955,
45,0.3971405327,45,-0.2157238424,
46,0.3944495022,46,-0.2188976705,
47,0.3924923837,47,-0.2203625143,
48,0.3924923837,48,-0.2223156393,
49,0.3915137947,49,-0.2252453268,
50,0.3885781467,50,-0.227686733,
51,0.3871103227,51,-0.2293957174,
52,0.3880888522,52,-0.2313488424,
