x0000,y0000,x0001,y0001
0,0.2728637755,0,-0.05996212363,
1,0.270172745,1,-0.06338009238,
2,0.270172745,2,-0.06484493613,
3,0.268704921,3,-0.06728634238,
4,0.2682156265,4,-0.06923946738,
5,0.2689495385,5,-0.06997188926,
6,0.2682156265,6,-0.07168087363,
7,0.2674817145,7,-0.07363399863,
8,0.2657692134,8,-0.07607540488,
9,0.26699242,9,-0.07631954551,
10,0.2667478025,10,-0.07802852988,
11,0.265524596,11,-0.08022579551,
12,0.2643013895,12,-0.08266720176,
13,0.2650353014,13,-0.08315548301,
14,0.2645460069,14,-0.08437618613,
15,0.2638120949,15,-0.08681759238,
16,0.2638120949,16,-0.08852657676,
17,0.2625888884,17,-0.08950313926,
18,0.2623442709,18,-0.09121212363,
19,0.261610359,19,-0.09292110801,
20,0.2591639459,20,-0.09536251426,
21,0.2598978579,21,-0.09633907676,
22,0.2598978579,22,-0.09755977988,
23,0.2589193285,23,-0.09975704551,
24,0.2564729154,24,-0.1017101705,
25,0.2574515045,25,-0.1021984518,
26,0.2576961219,26,-0.1039074361,
27,0.2564729154,27,-0.1058605611,
28,0.2545157969,28,-0.1080578268,
29,0.2552497089,29,-0.1087902486,
30,0.2550050914,30,-0.1102550924,
31,0.254026562,31,-0.1117199361,
32,0.2518247664,32,-0.114405483,
33,0.2520694435,33,-0.1148937643,
34,0.2520694435,34,-0.116358608,
35,0.2506016195,35,-0.1180675924,
36,0.2488891184,36,-0.1200207174,
37,0.2498676479,37,-0.1205089986,
38,0.248644501,38,-0.1227062643,
39,0.2479105294,39,-0.1244152486,
40,0.2459534705,40,-0.1263683736,
41,0.2469319999,41,-0.1266125143,
42,0.2461980879,42,-0.1283214986,
43,0.2447302639,43,-0.1302746236,
44,0.2425284684,44,-0.131983608,
45,0.2427731454,45,-0.1332043111,
46,0.2422838509,46,-0.1344250143,
47,0.2415499389,47,-0.1363781393,
48,0.2391035259,48,-0.1380871236,
49,0.2403267324,49,-0.1390636861,
50,0.2393482029,50,-0.1400402486,
51,0.2376357019,51,-0.1424816549,
52,0.2354339659,52,-0.1439464986,
53,0.2361678779,53,-0.1444347799,
54,0.2356785834,54,-0.1458996236,
55,0.2337214649,55,-0.1480968893,
56,0.2320090234,56,-0.1493175924,
57,0.2327429354,57,-0.1502941549,
58,0.2320090234,58,-0.151514858,
59,0.2305411994,59,-0.153467983,
60,0.2283394039,60,-0.1549328268,
61,0.2280947864,61,-0.1561535299,
62,0.2283394039,62,-0.157374233,
63,0.2261376679,63,-0.1590832174,
64,0.2244251668,64,-0.1605480611,
65,0.2239359319,65,-0.1615246236,
66,0.2239359319,66,-0.1627453268,
67,0.2219788134,67,-0.1649425924,
68,0.2200216949,68,-0.1661632955,
69,0.2202663124,69,-0.1668957174,
70,0.2200216949,70,-0.1681164205,
71,0.2202663124,71,-0.1681164205,
72,0.2156181633,72,-0.1715343893,
73,0.2161074579,73,-0.1720226705,
74,0.2151288688,74,-0.1737316549,
75,0.2131718099,75,-0.1754406393,
76,0.2112146914,76,-0.1764172018,
77,0.2121932209,77,-0.1771496236,
78,0.2112146914,78,-0.1791027486,
79,0.2087682784,79,-0.180811733,
80,0.2070557773,80,-0.1815441549,
81,0.2073004544,81,-0.1825207174,
82,0.2060772479,82,-0.1839855611,
83,0.2038755119,83,-0.1861828268,
84,0.2021630108,84,-0.1869152486,
85,0.2031415999,85,-0.1871593893,
86,0.2014290988,86,-0.1891125143,
87,0.2002058923,87,-0.1915539205,
88,0.1980041564,88,-0.1917980611,
89,0.1980041564,89,-0.192530483,
90,0.1970255673,90,-0.1942394674,
91,0.1940899193,91,-0.1957043111,
92,0.1933560073,92,-0.1969250143,
93,0.1923774183,93,-0.1979015768,
