x0000,y0000
0,1.00256598,
1,1.002521992,
2,1.002516627,
3,1.002506137,
4,1.002500057,
5,1.002483845,
6,1.002488971,
7,1.002474666,
8,1.002488494,
9,1.002492905,
10,1.002438188,
11,1.002382278,
12,1.002339602,
13,1.0023067,
14,1.002258778,
15,1.002219558,
16,1.002184033,
17,1.002148628,
18,1.002139688,
19,1.002120137,
20,1.002055287,
21,1.002014041,
22,1.002024055,
23,1.002055645,
24,1.002103806,
25,1.002147555,
26,1.002191186,
27,1.002212405,
28,1.002195477,
29,1.002169728,
30,1.002141356,
31,1.002101541,
32,1.002033949,
33,1.001916528,
34,1.001815557,
35,1.001758814,
36,1.001716375,
37,1.001666665,
38,1.001626253,
39,1.001562715,
40,1.001474023,
41,1.00137639,
42,1.001276612,
43,1.001189113,
44,1.001111388,
45,1.001040936,
46,1.000962377,
47,1.000873327,
48,1.00077343,
49,1.00067997,
50,1.000587821,
51,1.000487804,
52,1.000419617,
53,1.000360966,
54,1.000314355,
55,1.000270367,
56,1.000240326,
57,1.00021553,
58,1.000198364,
59,1.000196099,
60,1.000185966,
61,1.000147939,
62,1.000085473,
63,1.000017166,
64,0.9999678135,
65,0.9999238849,
66,0.9998958707,
67,0.9998404384,
68,0.9997574687,
69,0.999673903,
70,0.9995718002,
71,0.9994729161,
72,0.9993829727,
73,0.9993010163,
74,0.9992242455,
75,0.9991505742,
76,0.9991019368,
77,0.9990466237,
78,0.9989860058,
79,0.9988988042,
80,0.9987998009,
81,0.99871099,
82,0.9986470938,
83,0.9985634685,
84,0.9984645247,
85,0.9983401299,
86,0.998226881,
87,0.9981257915,
88,0.9980319142,
89,0.997949481,
90,0.9978752136,
91,0.997811079,
92,0.9977567196,
93,0.9977109432,
94,0.9976755381,
95,0.9976416826,
96,0.9975979924,
97,0.9975187182,
98,0.9974389076,
99,0.9973816872,
100,0.997320354,
101,0.997248888,
102,0.9971463084,
103,0.9970494509,
104,0.9969542623,
105,0.9968565702,
106,0.9967676401,
107,0.9966933131,
108,0.9966132641,
109,0.9965254068,
110,0.9964597225,
111,0.9963985682,
112,0.9963079095,
113,0.9962129593,
114,0.9961107373,
115,0.9960073829,
116,0.9959088564,
117,0.9958043694,
118,0.995711565,
119,0.9956145883,
120,0.9955143929,
121,0.9954307079,
122,0.9953578711,
123,0.9952483177,
124,0.9951506257,
125,0.9950530529,
126,0.9949485064,
127,0.9949119091,
128,0.9949635863,
129,0.9949512482,
130,0.9949086308,
131,0.9949005246,
132,0.9949431419,
133,0.9949840903,
134,0.9949316978,
135,0.9948719144,
136,0.9948112965,
137,0.994751215,
138,0.9946790934,
139,0.9946119785,
140,0.9945734143,
141,0.9945683479,
142,0.9945564866,
143,0.9945094585,
144,0.9944403768,
145,0.9943593144,
146,0.9942994714,
147,0.9942424893,
148,0.9941810966,
149,0.9941053987,
150,0.9940189719,
151,0.9939495325,
152,0.9938794971,
153,0.9937918782,
154,0.9936974049,
155,0.9936181307,
156,0.9935370088,
157,0.9934437275,
158,0.9933722019,
159,0.9932971001,
160,0.9931999445,
161,0.9931041002,
162,0.9930310249,
163,0.9929592013,
164,0.9928724766,
165,0.9928063154,
166,0.9927543998,
167,0.9927085042,
168,0.992657423,
169,0.9926021695,
170,0.9925453663,
171,0.9925705194,
172,0.9925853014,
173,0.9925501347,
174,0.9925481677,
175,0.9925816059,
176,0.9925358295,
177,0.9925028086,
178,0.9924494624,
179,0.9923939109,
180,0.9923331141,
181,0.9922600389,
182,0.9922229648,
183,0.9922541976,
184,0.9922710657,
185,0.9922521114,
186,0.9922284484,
187,0.992192924,
188,0.9921393394,
189,0.9920722246,
190,0.9919968247,
191,0.9919273853,
192,0.991886735,
193,0.991846621,
194,0.991791904,
195,0.991724968,
196,0.9916641712,
197,0.9916247129,
198,0.9916170239,
199,0.9916375279,
200,0.9916473031,
201,0.991666317,
202,0.9916617274,
203,0.9916329384,
204,0.9915935397,
205,0.9915525913,
206,0.9915052652,
207,0.9914715886,
208,0.9914349914,
209,0.9913966656,
210,0.9913681149,
211,0.9913923144,
212,0.9913700223,
213,0.991376698,
214,0.9914181828,
215,0.9914226532,
216,0.991394937,
217,0.9913368225,
218,0.9913172126,
219,0.9912993908,
220,0.9912901521,
221,0.9912844896,
222,0.991289258,
223,0.991276741,
224,0.991255641,
225,0.9912114739,
226,0.9911558032,
227,0.9910935163,
228,0.9910309315,
229,0.99101156,
230,0.9910065532,
231,0.9910095334,
232,0.9909821153,
233,0.9909443259,
234,0.9908798337,
235,0.990819931,
236,0.9907702208,
237,0.9907886386,
238,0.9908375144,
239,0.9908933043,
240,0.9909573793,
241,0.9910274148,
242,0.9910951257,
243,0.9911416173,
244,0.991176188,
245,0.9912133217,
246,0.9912368655,
247,0.9912771583,
248,0.991332531,
249,0.9913850427,
250,0.9913933277,
251,0.9913969636,
252,0.9914604425,
253,0.9915575981,
254,0.9915368557,
255,0.991458714,
256,0.9914409518,
257,0.9914850593,
258,0.9915556312,
259,0.9914904237,
260,0.99144274,
261,0.9914473891,
262,0.9915037751,
263,0.9915531278,
264,0.9914718866,
265,0.9914261103,
266,0.9914431572,
267,0.9915035367,
268,0.9915417433,
269,0.9914433956,
270,0.9913355708,
271,0.9912278056,
272,0.9911206365,
273,0.9910306334,
274,0.9910154343,
275,0.991101861,
276,0.9912290573,
277,0.9913596511,
278,0.9914955497,
279,0.9915843606,
280,0.9915313125,
281,0.9914342761,
282,0.9913902879,
283,0.991378963,
284,0.9914247394,
285,0.991556108,
286,0.991633594,
287,0.9916536212,
288,0.9916464686,
289,0.9916250706,
290,0.9916244745,
291,0.991666913,
292,0.9917706251,
293,0.991892457,
294,0.9920207262,
295,0.9921461344,
296,0.9921655655,
297,0.9920756221,
298,0.9920145869,
299,0.9919909835,
300,0.9920022488,
301,0.9920514822,
302,0.9921218753,
303,0.9920971394,
304,0.9920518994,
305,0.9920701385,
306,0.9921500087,
307,0.9920953512,
308,0.9920525551,
309,0.9921189547,
310,0.9922006726,
311,0.9921972156,
312,0.9921236634,
313,0.9920824766,
314,0.9921814203,
315,0.9922744036,
316,0.9923298955,
317,0.9923658967,
318,0.9923541546,
319,0.9922706485,
320,0.9921540022,
321,0.9921191931,
322,0.9922287464,
323,0.9923630953,
324,0.9925050139,
325,0.9926439524,
326,0.9927579761,
327,0.9927321076,
328,0.9926460981,
329,0.992629528,
330,0.9926483035,
331,0.992724061,
332,0.9927563667,
333,0.9926734567,
334,0.992631793,
335,0.9926431179,
336,0.9926996231,
337,0.9927284718,
