x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0,0.9906544685,0,0.8038135767,0,0.1868408918,0,0.2493640482,0,0.3927370012,
1,0.9906532764,1,0.803884685,1,0.1867685914,1,0.2474109232,1,0.3900459707,
2,0.9906520844,2,0.8038136363,2,0.186838448,2,0.2476550639,2,0.3900459707,
3,0.9906509519,3,0.8037237525,3,0.1869271994,3,0.2493640482,3,0.3922477067,
4,0.990649879,4,0.8037237525,4,0.1869261265,4,0.2493640482,4,0.3922477067,
5,0.9906487465,5,0.8036082387,5,0.1870405078,5,0.2496081889,5,0.3920030892,
6,0.9906477332,6,0.8037620783,6,0.1868856549,6,0.2481433451,6,0.3905352652,
7,0.9906466007,7,0.8038392067,7,0.186807394,7,0.2491199076,7,0.3924923837,
8,0.9906455874,8,0.8037237525,8,0.1869218349,8,0.2493640482,8,0.3922477067,
9,0.9906445146,9,0.8039298058,9,0.1867147088,9,0.2474109232,9,0.3902905881,
10,0.9906435013,10,0.8036912084,10,0.1869522929,10,0.2483874857,10,0.3905352652,
11,0.990642488,11,0.8037237525,11,0.1869187355,11,0.2493640482,11,0.3922477067,
12,0.9906415343,12,0.8036276698,12,0.1870138645,12,0.2498523295,12,0.3924923837,
13,0.9906405807,13,0.8037879467,13,0.186852634,13,0.2496081889,13,0.3929816186,
14,0.990639627,14,0.8036912084,14,0.1869484186,14,0.2483874857,14,0.3905352652,
15,0.9906386733,15,0.8036532402,15,0.1869854331,15,0.2496081889,15,0.3922477067,
16,0.9906377196,16,0.8036276698,16,0.1870100498,16,0.2498523295,16,0.3924923837,
17,0.990636766,17,0.8039172292,17,0.1867195368,17,0.2466785014,17,0.3890674412,
18,0.9906358719,18,0.8037813902,18,0.1868544817,18,0.2483874857,18,0.3910245001,
19,0.9906349182,19,0.8037430644,19,0.1868918538,19,0.2496081889,19,0.3927370012,
20,0.9906340241,20,0.8037686944,20,0.1868653297,20,0.2493640482,20,0.3924923837,
21,0.9906331897,21,0.8038522601,21,0.1867809296,21,0.2481433451,21,0.3910245001,
22,0.9906322956,22,0.8037106395,22,0.1869216561,22,0.2486316264,22,0.3910245001,
23,0.9906315207,23,0.8037686944,23,0.1868628263,23,0.2493640482,23,0.3924923837,
24,0.9906307459,24,0.803678751,24,0.1869519949,24,0.2493640482,24,0.3920030892,
25,0.9906300306,25,0.8036981821,25,0.1869318485,25,0.2496081889,25,0.3924923837,
26,0.9906291962,26,0.8037813902,26,0.186847806,26,0.2483874857,26,0.3910245001,
27,0.9906284213,27,0.8036981821,27,0.1869302392,27,0.2496081889,27,0.3924923837,
28,0.9906277657,28,0.8036338091,28,0.1869939566,28,0.2493640482,28,0.3917584717,
29,0.9906270504,29,0.8038201332,29,0.1868069172,29,0.2471667826,29,0.3893120587,
30,0.9906263351,30,0.803730011,30,0.1868963242,30,0.248875767,30,0.3915137947,
31,0.9906257391,31,0.8037430644,31,0.1868826747,31,0.2496081889,31,0.3927370012,
32,0.9906251431,32,0.8037943244,32,0.1868308187,32,0.2491199076,32,0.3922477067,
33,0.9906246066,33,0.8038913012,33,0.1867333055,33,0.246922642,33,0.3893120587,
34,0.990623951,34,0.8036082387,34,0.1870157123,34,0.2496081889,34,0.3920030892,
35,0.9906234741,35,0.8036919832,35,0.1869314909,35,0.2500964701,35,0.3932262957,
36,0.9906229377,36,0.8036981821,36,0.1869247556,36,0.2496081889,36,0.3924923837,
37,0.9906224608,37,0.8039748669,37,0.186647594,37,0.2474109232,37,0.3905352652,
38,0.990621984,38,0.8037943244,38,0.1868276596,38,0.2491199076,38,0.3922477067,
39,0.9906215668,39,0.8037430644,39,0.1868785024,39,0.2496081889,39,0.3927370012,
40,0.9906212091,40,0.8037943244,40,0.1868268847,40,0.2491199076,40,0.3922477067,
41,0.9906208515,41,0.803884685,41,0.1867361665,41,0.2474109232,41,0.3900459707,
42,0.9906204939,42,0.8036082387,42,0.1870122552,42,0.2496081889,42,0.3920030892,
43,0.9906201363,43,0.8036022186,43,0.1870179176,43,0.2500964701,43,0.3927370012,
44,0.9906198978,44,0.8037750125,44,0.1868448853,44,0.248875767,44,0.3917584717,
45,0.9906195998,45,0.803768456,45,0.1868511438,45,0.2476550639,45,0.3898013532,
46,0.9906193614,46,0.8037430644,46,0.186876297,46,0.2496081889,46,0.3927370012,
47,0.990619123,47,0.8035767078,47,0.1870424151,47,0.2503406107,47,0.3929816186,
48,0.9906189442,48,0.8037493825,48,0.1868695617,48,0.2491199076,48,0.3920030892,
49,0.9906187057,49,0.8038395047,49,0.186779201,49,0.2474109232,49,0.3898013532,
50,0.9906185865,50,0.8036276698,50,0.1869909167,50,0.2498523295,50,0.3924923837,
51,0.9906184673,51,0.8036471009,51,0.1869713664,51,0.2500964701,51,0.3929816186,
52,0.9906184077,52,0.8037750125,52,0.1868433952,52,0.248875767,52,0.3917584717,
53,0.9906183481,53,0.8038395047,53,0.1867788434,53,0.2474109232,53,0.3898013532,
54,0.9906182289,54,0.8036532402,54,0.1869649887,54,0.2496081889,54,0.3922477067,
55,0.9906182289,55,0.8036726117,55,0.1869456172,55,0.2498523295,55,0.3927370012,
56,0.9906182289,56,0.8037557006,56,0.1868625283,56,0.2486316264,56,0.3912691772,
57,0.9906183481,57,0.8039298058,57,0.1866885424,57,0.2474109232,57,0.3902905881,
58,0.9906184077,58,0.8036726117,58,0.186945796,58,0.2498523295,58,0.3927370012,
59,0.9906184673,59,0.8036471009,59,0.1869713664,59,0.2500964701,59,0.3929816186,
60,0.9906186461,60,0.803807199,60,0.1868114471,60,0.2481433451,60,0.3907798827,
61,0.990618825,61,0.8038136363,61,0.1868051887,61,0.2476550639,61,0.3900459707,
62,0.9906190634,62,0.8036981821,62,0.1869208813,62,0.2496081889,62,0.3924923837,
63,0.9906191826,63,0.8037879467,63,0.1868312359,63,0.2496081889,63,0.3929816186,
64,0.990619421,64,0.8037430644,64,0.1868763566,64,0.2496081889,64,0.3927370012,
65,0.9906196594,65,0.8036717176,65,0.1869479418,65,0.2481433451,65,0.3900459707,
66,0.9906198978,66,0.8036276698,66,0.186992228,66,0.2498523295,66,0.3924923837,
67,0.9906202555,67,0.8036471009,67,0.1869731545,67,0.2500964701,67,0.3929816186,
68,0.9906204939,68,0.8037363291,68,0.1868841648,68,0.2483874857,68,0.3907798827,
69,0.9906207919,69,0.8038780689,69,0.186742723,69,0.2478992045,69,0.3907798827,
70,0.9906210899,70,0.803717494,70,0.1869035959,70,0.2498523295,70,0.3929816186,
71,0.9906214476,71,0.8036022186,71,0.1870192289,71,0.2500964701,71,0.3927370012,
72,0.9906218052,72,0.8038588166,72,0.1867629886,72,0.2476550639,72,0.3902905881,
73,0.9906221628,73,0.8036912084,73,0.1869309545,73,0.2483874857,73,0.3905352652,
74,0.9906225204,74,0.803717494,74,0.1869050264,74,0.2498523295,74,0.3929816186,
75,0.9906229377,75,0.8035827279,75,0.1870402098,75,0.2498523295,75,0.3922477067,
76,0.9906233549,76,0.8036155701,76,0.1870077848,76,0.250828892,76,0.3939602077,
77,0.9906238317,77,0.8038522601,77,0.1867715716,77,0.2481433451,77,0.3910245001,
78,0.9906241894,78,0.8035767078,78,0.1870474815,78,0.2503406107,78,0.3929816186,
79,0.9906246662,79,0.8037430644,79,0.1868816018,79,0.2496081889,79,0.3927370012,
80,0.9906250834,80,0.8038653731,80,0.1867597103,80,0.2471667826,80,0.3895566761,
81,0.9906255603,81,0.8037813902,81,0.1868441701,81,0.2483874857,81,0.3910245001,
82,0.9906259775,82,0.8036919832,82,0.1869339943,82,0.2500964701,82,0.3932262957,
83,0.9906264544,83,0.8037430644,83,0.1868833899,83,0.2496081889,83,0.3927370012,
84,0.9906269312,84,0.8036409616,84,0.1869859695,84,0.2505847514,84,0.3937155306,
85,0.990627408,85,0.8038457036,85,0.1867817044,85,0.2486316264,85,0.3917584717,
86,0.9906278849,86,0.8035767078,86,0.187051177,86,0.2503406107,86,0.3929816186,
87,0.9906283617,87,0.8036532402,87,0.1869751215,87,0.2496081889,87,0.3922477067,
88,0.9906288385,88,0.8034948111,88,0.1871340275,88,0.2515613139,88,0.3944495022,
89,0.990629375,89,0.803730011,89,0.186899364,89,0.248875767,89,0.3915137947,
90,0.9906298518,90,0.803717494,90,0.1869123578,90,0.2498523295,90,0.3929816186,
91,0.9906303883,91,0.8037237525,91,0.1869066358,91,0.2493640482,91,0.3922477067,
92,0.9906308651,92,0.8037620783,92,0.1868687868,92,0.2481433451,92,0.3905352652,
93,0.9906313419,93,0.803704381,93,0.1869269609,93,0.2491199076,93,0.3917584717,
94,0.9906318784,94,0.8036919832,94,0.1869398952,94,0.2500964701,94,0.3932262957,
95,0.9906324744,95,0.8036981821,95,0.1869342923,95,0.2496081889,95,0.3924923837,
96,0.9906329513,96,0.803632617,96,0.1870003343,96,0.2476550639,96,0.3890674412,
97,0.9906334877,97,0.803704381,97,0.1869291067,97,0.2491199076,97,0.3917584717,
98,0.9906340241,98,0.8037815094,98,0.1868525147,98,0.2500964701,98,0.3937155306,
99,0.990634501,99,0.8038135767,99,0.1868209243,99,0.2493640482,99,0.3927370012,
100,0.9906349778,100,0.8039557338,100,0.186679244,100,0.2471667826,100,0.3900459707,
101,0.9906354547,101,0.8035632372,101,0.1870722175,101,0.2496081889,101,0.3917584717,
102,0.9906359315,102,0.8035767078,102,0.1870592237,102,0.2503406107,102,0.3929816186,
103,0.9906365275,103,0.803678751,103,0.1869577765,103,0.2493640482,103,0.3920030892,
104,0.9906370044,104,0.803994,104,0.1866430044,104,0.2476550639,104,0.3910245001,
105,0.9906374812,105,0.8038392067,105,0.1867982745,105,0.2491199076,105,0.3924923837,
106,0.9906378388,106,0.8036022186,106,0.1870356202,106,0.2500964701,106,0.3927370012,
107,0.9906383157,107,0.8038649559,107,0.1867733598,107,0.248875767,107,0.3922477067,
108,0.9906387925,108,0.8039105535,108,0.1867282391,108,0.2471667826,108,0.3898013532,
109,0.9906392694,109,0.8036532402,109,0.1869860291,109,0.2496081889,109,0.3922477067,
110,0.9906397462,110,0.803717494,110,0.1869222522,110,0.2498523295,110,0.3929816186,
111,0.990640223,111,0.803820014,111,0.186820209,111,0.248875767,111,0.3920030892,
112,0.9906406403,112,0.8038653731,112,0.1867752671,112,0.2471667826,112,0.3895566761,
113,0.9906411171,113,0.8035572767,113,0.1870838404,113,0.2500964701,113,0.3924923837,
114,0.9906415343,114,0.8036022186,114,0.1870393157,114,0.2500964701,114,0.3927370012,
115,0.990641892,115,0.8038649559,115,0.1867769361,115,0.248875767,115,0.3922477067,
116,0.9906423092,116,0.8038588166,116,0.1867834926,116,0.2476550639,116,0.3902905881,
117,0.9906427264,117,0.8036981821,117,0.1869445443,117,0.2496081889,117,0.3924923837,
118,0.9906430244,118,0.8037368059,118,0.1869062185,118,0.2500964701,118,0.3934709132,
119,0.9906434417,119,0.8038457036,119,0.1867977381,119,0.2486316264,119,0.3917584717,
120,0.9906437397,120,0.8038136363,120,0.1868301034,120,0.2476550639,120,0.3900459707,
121,0.9906440377,121,0.8037430644,121,0.1869009733,121,0.2496081889,121,0.3927370012,
122,0.990644455,122,0.803717494,122,0.1869269609,122,0.2498523295,122,0.3929816186,
123,0.990644753,123,0.8037557006,123,0.1868890524,123,0.2486316264,123,0.3912691772,
124,0.9906449914,124,0.8038136363,124,0.1868313551,124,0.2476550639,124,0.3900459707,
125,0.990645349,125,0.8037430644,125,0.1869022846,125,0.2496081889,125,0.3927370012,
126,0.990645647,126,0.803717494,126,0.186928153,126,0.2498523295,126,0.3929816186,
127,0.9906458855,127,0.803634882,127,0.1870110035,127,0.2510730326,127,0.3944495022,
128,0.9906461239,128,0.803884685,128,0.1867614388,128,0.2474109232,128,0.3900459707,
129,0.9906464219,129,0.8036471009,129,0.186999321,129,0.2500964701,129,0.3929816186,
130,0.9906466603,130,0.8036981821,130,0.1869484782,130,0.2496081889,130,0.3924923837,
131,0.9906468391,131,0.8037106395,131,0.1869361997,131,0.2486316264,131,0.3910245001,
132,0.9906470776,132,0.8036717176,132,0.1869753599,132,0.2481433451,132,0.3900459707,
133,0.990647316,133,0.8036726117,133,0.1869747043,133,0.2498523295,133,0.3927370012,
134,0.9906473756,134,0.8037943244,134,0.1868530512,134,0.2491199076,134,0.3922477067,
135,0.9906475544,135,0.803884685,135,0.1867628694,135,0.2474109232,135,0.3900459707,
136,0.9906477332,136,0.8037878275,136,0.1868599057,136,0.2478992045,136,0.3902905881,
137,0.9906478524,137,0.8037237525,137,0.1869240999,137,0.2493640482,137,0.3922477067,
138,0.9906479716,138,0.8038392067,138,0.1868087649,138,0.2491199076,138,0.3924923837,
139,0.9906480312,139,0.8037878275,139,0.1868602037,139,0.2478992045,139,0.3902905881,
140,0.9906480908,140,0.8037620783,140,0.1868860126,140,0.2481433451,140,0.3905352652,
141,0.99064821,141,0.8036981821,141,0.1869500279,141,0.2496081889,141,0.3924923837,
142,0.9906482697,142,0.8038392067,142,0.186809063,142,0.2491199076,142,0.3924923837,
143,0.9906482697,143,0.8040268421,143,0.1866214275,143,0.246922642,143,0.3900459707,
144,0.9906483293,144,0.803646028,144,0.1870023012,144,0.2483874857,144,0.3902905881,
145,0.9906483293,145,0.8036981821,145,0.1869501472,145,0.2496081889,145,0.3924923837,
146,0.9906483293,146,0.8036532402,146,0.1869950891,146,0.2496081889,146,0.3922477067,
147,0.9906483293,147,0.8036022186,147,0.1870461106,147,0.2500964701,147,0.3927370012,
148,0.9906482697,148,0.8037363291,148,0.1869119406,148,0.2483874857,148,0.3907798827,
149,0.9906482697,149,0.8036981821,149,0.1869500875,149,0.2496081889,149,0.3924923837,
150,0.99064821,150,0.8038649559,150,0.1867832541,150,0.248875767,150,0.3922477067,
