x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0,0.2363244742,0,0.05410391092,0,0.1822205633,0,-0.3753918111,0,0.2373910844,
1,0.2363231182,1,0.05390149355,1,0.1824216247,1,-0.3758800924,1,0.2383696139,
2,0.2363217771,2,0.0543371439,2,0.1819846332,2,-0.3766125143,2,0.2373910844,
3,0.2363204956,3,0.05487459898,3,0.1814458966,3,-0.3771007955,3,0.2359232605,
4,0.23631908,4,0.0541973114,4,0.1821217686,4,-0.3758800924,4,0.2373910844,
5,0.236317724,5,0.05402210355,5,0.1822956204,5,-0.376124233,5,0.2381249964,
6,0.2363162935,6,0.05426320434,6,0.1820530891,6,-0.3766125143,6,0.2376357019,
7,0.236314863,7,0.05489304662,7,0.1814218163,7,-0.3775890768,7,0.2361678779,
8,0.2363133579,8,0.05424395204,8,0.1820694059,8,-0.376124233,8,0.2373910844,
9,0.2363119274,9,0.05406877398,9,0.1822431535,9,-0.3763683736,9,0.2381249964,
10,0.2363104224,10,0.0543371439,10,0.1819732785,10,-0.3766125143,10,0.2373910844,
11,0.2363089174,11,0.05473542213,11,0.1815734953,11,-0.3763683736,11,0.2359232605,
12,0.2363073975,12,0.05412328243,12,0.1821841151,12,-0.3758800924,12,0.2376357019,
13,0.2363058925,13,0.05399492383,13,0.1823109686,13,-0.3763683736,13,0.2383696139,
14,0.2363043875,14,0.05448520184,14,0.1818191856,14,-0.3766125143,14,0.2369017899,
15,0.2363029569,15,0.05464237928,15,0.1816605777,15,-0.3758800924,15,0.2359232605,
16,0.2363014519,16,0.05402982235,16,0.1822716296,16,-0.3753918111,16,0.2376357019,
17,0.2362999469,17,0.05387437344,17,0.1824255735,17,-0.376124233,17,0.238614291,
18,0.236298427,18,0.05448520184,18,0.1818132252,18,-0.3766125143,18,0.2369017899,
19,0.2362969965,19,0.05468890071,19,0.1816080958,19,-0.376124233,19,0.2359232605,
20,0.236295566,20,0.05400261283,20,0.1822929531,20,-0.3756359518,20,0.2378803194,
21,0.2362941504,21,0.05402210355,21,0.1822720468,21,-0.376124233,21,0.2381249964,
22,0.2362927198,22,0.05445766449,22,0.1818350554,22,-0.3768566549,22,0.2371464074,
23,0.2362911999,23,0.05461469293,23,0.181676507,23,-0.376124233,23,0.2361678779,
24,0.2362897843,24,0.05397537351,24,0.1823144108,24,-0.3758800924,24,0.2381249964,
25,0.2362883538,25,0.05406877398,25,0.1822195798,25,-0.3763683736,25,0.2381249964,
26,0.2362868339,26,0.05455932021,26,0.1817275137,26,-0.3766125143,26,0.2366571724,
27,0.2362854034,27,0.05449387431,27,0.1817915291,27,-0.3758800924,27,0.2364124954,
28,0.2362838984,28,0.05390149355,28,0.1823824048,28,-0.3758800924,28,0.2383696139,
29,0.2362823933,29,0.05394822359,29,0.1823341697,29,-0.376124233,29,0.2383696139,
30,0.2362808883,30,0.0546708703,30,0.181610018,30,-0.3775890768,30,0.2369017899,
31,0.2362793833,31,0.0543730557,31,0.1819063276,31,-0.3756359518,31,0.2366571724,
32,0.2362779528,32,0.05390149355,32,0.1823764592,32,-0.3758800924,32,0.2383696139,
33,0.2362765223,33,0.05402210355,33,0.1822544187,33,-0.376124233,33,0.2381249964,
34,0.2362750918,34,0.05446627736,34,0.1818088144,34,-0.376124233,34,0.2366571724,
35,0.2362737358,35,0.0543730557,35,0.1819006801,35,-0.3756359518,35,0.2366571724,
36,0.2362723053,36,0.05397537351,36,0.1822969317,36,-0.3758800924,36,0.2381249964,
37,0.2362709641,37,0.05406877398,37,0.1822021902,37,-0.3763683736,37,0.2381249964,
38,0.2362695336,38,0.05466115475,38,0.1816083789,38,-0.3763683736,38,0.2361678779,
39,0.2362681776,39,0.05434548855,39,0.1819226891,39,-0.3758800924,39,0.2369017899,
40,0.2362668365,40,0.05402210355,40,0.182244733,40,-0.376124233,40,0.2381249964,
41,0.236265406,41,0.0542358458,41,0.1820295602,41,-0.3768566549,41,0.2378803194,
42,0.23626405,42,0.05416196585,42,0.1821020842,42,-0.3768566549,42,0.2381249964,
43,0.2362627089,43,0.05434548855,43,0.1819172204,43,-0.3758800924,43,0.2369017899,
44,0.2362613529,44,0.05394822359,44,0.1823131293,44,-0.376124233,44,0.2383696139,
45,0.2362599969,45,0.05436465144,45,0.1818953454,45,-0.3763683736,45,0.2371464074,
46,0.2362587303,46,0.05495843291,46,0.1813002974,46,-0.3763683736,46,0.2351892889,
47,0.2362573892,47,0.05420544744,47,0.1820519418,47,-0.3751476705,47,0.2369017899,
48,0.2362561077,48,0.05395579338,48,0.1823003143,48,-0.3753918111,48,0.2378803194,
49,0.2362547666,49,0.0541973114,49,0.1820574552,49,-0.3758800924,49,0.2373910844,
50,0.2362535,50,0.05478182435,50,0.1814716756,50,-0.3766125143,50,0.2359232605,
51,0.2362522185,51,0.05413126945,51,0.182120949,51,-0.3751476705,51,0.2371464074,
52,0.2362510264,52,0.05380788445,52,0.1824431419,52,-0.3753918111,52,0.2383696139,
53,0.2362496853,53,0.05424395204,53,0.1820057333,53,-0.376124233,53,0.2373910844,
54,0.2362484187,54,0.05467990041,54,0.1815685183,54,-0.3768566549,54,0.2364124954,
55,0.2362472266,55,0.05405712128,55,0.1821901053,55,-0.3751476705,55,0.2373910844,
56,0.2362459451,56,0.05392864347,56,0.1823173016,56,-0.3756359518,56,0.2381249964,
57,0.2362446785,57,0.05436465144,57,0.1818800271,57,-0.3763683736,57,0.2371464074,
58,0.2362434864,58,0.05464237928,58,0.1816011071,58,-0.3758800924,58,0.2359232605,
59,0.2362422943,59,0.05410391092,59,0.1821383834,59,-0.3753918111,59,0.2373910844,
60,0.2362411022,60,0.05397537351,60,0.1822657287,60,-0.3758800924,60,0.2381249964,
61,0.2362398356,61,0.05439212918,61,0.1818477064,61,-0.376124233,61,0.2369017899,
62,0.236238569,62,0.05462363362,62,0.1816149354,62,-0.3753918111,62,0.2356785834,
63,0.2362373769,63,0.05386212468,63,0.1823752522,63,-0.3749035299,63,0.2378803194,
64,0.2362361848,64,0.0538547039,64,0.1823814809,64,-0.3756359518,64,0.2383696139,
65,0.2362349182,65,0.05434548855,65,0.1818894297,65,-0.3758800924,65,0.2369017899,
