x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0,0.7371336818,0,0.5579621792,0,0.1791715026,0,0.3882800639,0,-0.2325609624,
1,0.7371334434,1,0.5576374531,1,0.1794959903,1,0.3860827982,1,-0.2323163152,
2,0.7371330857,2,0.5577559471,2,0.1793771386,2,0.3863269389,2,-0.2320716679,
3,0.7371328473,3,0.5581396818,3,0.1789931655,3,0.3880359232,3,-0.2318270206,
4,0.7371325493,4,0.5580359697,4,0.1790965796,4,0.3882800639,4,-0.2323163152,
5,0.7371321321,5,0.557770431,5,0.179361701,5,0.3880359232,5,-0.2330502272,
6,0.737131834,6,0.5578743815,6,0.1792574525,6,0.3865710795,6,-0.2318270206,
7,0.7371314168,7,0.5581098199,7,0.1790215969,7,0.3882800639,7,-0.2320716679,
8,0.7371310592,8,0.5579035282,8,0.179227531,8,0.387547642,8,-0.2323163152,
9,0.7371306419,9,0.5574146509,9,0.179715991,9,0.3848620951,9,-0.2323163152,
10,0.7371301651,10,0.5579187274,10,0.1792114377,10,0.3868152201,10,-0.2318270206,
11,0.7371297479,11,0.5581098199,11,0.179019928,11,0.3882800639,11,-0.2320716679,
12,0.7371293902,12,0.5579918623,12,0.1791375279,12,0.3880359232,12,-0.2323163152,
13,0.737128973,13,0.5573557615,13,0.1797732115,13,0.3853503764,13,-0.2328055799,
14,0.737128675,14,0.557992816,14,0.179135859,14,0.3868152201,14,-0.2315824032,
15,0.7371284366,15,0.5581396818,15,0.1789887547,15,0.3880359232,15,-0.2318270206,
16,0.7371281981,16,0.5578593016,16,0.1792688966,16,0.3873035014,16,-0.2323163152,
17,0.7371280193,17,0.5574895144,17,0.179638505,17,0.3860827982,17,-0.2328055799,
18,0.7371278405,18,0.5578889847,18,0.1792388558,18,0.3870593607,18,-0.2320716679,
19,0.7371277213,19,0.5581098199,19,0.1790179014,19,0.3882800639,19,-0.2320716679,
20,0.7371276021,20,0.5577853918,20,0.1793422103,20,0.3873035014,20,-0.2325609624,
21,0.7371274829,21,0.5573852062,21,0.1797422767,21,0.3851062357,21,-0.2325609624,
22,0.7371273041,22,0.5580955744,22,0.1790317297,22,0.3877917826,22,-0.2318270206,
23,0.7371270657,23,0.5583156943,23,0.1788113713,23,0.3890124857,23,-0.2318270206,
24,0.7371268868,24,0.557770431,24,0.1793564558,24,0.3880359232,24,-0.2330502272,
25,0.7371265888,25,0.5573852062,25,0.1797413826,25,0.3851062357,25,-0.2325609624,
26,0.7371263504,26,0.5581396818,26,0.1789866686,26,0.3880359232,26,-0.2318270206,
27,0.7371260524,27,0.5580205917,27,0.1791054606,27,0.3890124857,27,-0.2328055799,
28,0.7371256351,28,0.5576376915,28,0.1794879436,28,0.3873035014,28,-0.2330502272,
29,0.7371253371,29,0.5573710203,29,0.1797543168,29,0.3858386576,29,-0.2330502272,
30,0.7371249795,30,0.5581837296,30,0.1789412498,30,0.3882800639,30,-0.2318270206,
31,0.7371247411,31,0.5582119823,31,0.1789127588,31,0.3892566264,31,-0.2323163152,
32,0.7371245027,32,0.557711482,32,0.1794130206,32,0.3873035014,32,-0.2328055799,
33,0.7371243238,33,0.5576819181,33,0.1794424057,33,0.3863269389,33,-0.2323163152,
34,0.7371242046,34,0.5581837296,34,0.178940475,34,0.3882800639,34,-0.2318270206,
35,0.7371240854,35,0.5581240654,35,0.17900002,35,0.3887683451,35,-0.2323163152,
36,0.7371240854,36,0.5574600697,36,0.1796640158,36,0.3863269389,36,-0.2330502272,
37,0.7371240854,37,0.5576819181,37,0.1794421673,37,0.3863269389,37,-0.2323163152,
38,0.737124145,38,0.5580359697,38,0.1790881753,38,0.3882800639,38,-0.2323163152,
39,0.737124145,39,0.5581382513,39,0.1789858937,39,0.3892566264,39,-0.2325609624,
40,0.737124145,40,0.5572385788,40,0.1798855662,40,0.3863269389,40,-0.2337841392,
41,0.737124145,41,0.5577706695,41,0.1793534756,41,0.3868152201,41,-0.2323163152,
42,0.737124145,42,0.5581538677,42,0.1789702773,42,0.3885242045,42,-0.2320716679,
43,0.7371239662,43,0.5579028726,43,0.1792210937,43,0.3887683451,43,-0.2330502272,
44,0.7371239066,44,0.5589911938,44,0.1781327128,44,0.3907214701,44,-0.2306038439,
45,0.7371237278,45,0.5577706695,45,0.1793530583,45,0.3868152201,45,-0.2323163152,
46,0.7371234894,46,0.5581680536,46,0.1789554358,46,0.3890124857,46,-0.2323163152,
47,0.7371233702,47,0.5579324961,47,0.1791908741,47,0.3885242045,47,-0.2328055799,
48,0.7371231914,48,0.5584935546,48,0.1786296368,48,0.3887683451,48,-0.2310931087,
49,0.7371231318,49,0.5578889847,49,0.1792341471,49,0.3870593607,49,-0.2320716679,
50,0.7371230125,50,0.5581538677,50,0.1789691448,50,0.3885242045,50,-0.2320716679,
51,0.7371229529,51,0.5579765439,51,0.179146409,51,0.3887683451,51,-0.2328055799,
52,0.7371230125,52,0.5573275685,52,0.179795444,52,0.3868152201,52,-0.2337841392,
53,0.7371230125,53,0.5579332113,53,0.1791898012,53,0.3873035014,53,-0.2320716679,
54,0.7371231318,54,0.5580800176,54,0.1790431142,54,0.3885242045,54,-0.2323163152,
55,0.737123251,55,0.5579621792,55,0.1791610718,55,0.3882800639,55,-0.2325609624,
56,0.7371233702,56,0.5573111773,56,0.1798121929,56,0.3851062357,56,-0.2328055799,
57,0.7371234894,57,0.5580514073,57,0.179072082,57,0.387547642,57,-0.2318270206,
58,0.7371236086,58,0.55806458,58,0.1790590286,58,0.3892566264,58,-0.2328055799,
59,0.7371236682,59,0.5578883886,59,0.1792352796,59,0.3882800639,59,-0.2328055799,
60,0.7371237278,60,0.5572971106,60,0.1798266172,60,0.3858386576,60,-0.2332948744,
61,0.7371237278,61,0.5579180121,61,0.1792057157,61,0.3880359232,61,-0.2325609624,
62,0.7371237278,62,0.5580800176,62,0.1790437102,62,0.3885242045,62,-0.2323163152,
63,0.7371237278,63,0.5576524734,63,0.1794712543,63,0.3877917826,63,-0.2332948744,
64,0.7371237278,64,0.5573710203,64,0.1797527075,64,0.3858386576,64,-0.2330502272,
65,0.7371237278,65,0.558021605,65,0.1791021228,65,0.3877917826,65,-0.2320716679,
66,0.7371237278,66,0.5581240654,66,0.1789996624,66,0.3887683451,66,-0.2323163152,
67,0.737123847,67,0.557770431,67,0.179353416,67,0.3880359232,67,-0.2330502272,
68,0.7371239066,68,0.5573710203,68,0.1797528863,68,0.3858386576,68,-0.2330502272,
69,0.7371240854,69,0.5581098199,69,0.1790142655,69,0.3882800639,69,-0.2320716679,
70,0.737124145,70,0.5580942631,70,0.179029882,70,0.3890124857,70,-0.2325609624,
71,0.7371243834,71,0.5577999949,71,0.1793243885,71,0.3877917826,71,-0.2328055799,
72,0.7371246219,72,0.5575484633,72,0.1795761585,72,0.385594517,72,-0.2323163152,
73,0.7371247411,73,0.5581837296,73,0.1789410114,73,0.3882800639,73,-0.2318270206,
74,0.7371249199,74,0.5580942631,74,0.1790306568,74,0.3890124857,74,-0.2325609624,
75,0.7371250987,75,0.5575195551,75,0.1796055436,75,0.3870593607,75,-0.2332948744,
76,0.7371251583,76,0.5576819181,76,0.1794432402,76,0.3863269389,76,-0.2323163152,
77,0.7371253371,77,0.5581098199,77,0.1790155172,77,0.3882800639,77,-0.2320716679,
78,0.7371253967,78,0.5579765439,78,0.1791488528,78,0.3887683451,78,-0.2328055799,
