x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
0,0.4897913635,0,0.3015922904,0,0.1881990731,0,-0.2533214986,0,-0.3869283199,
1,0.4897914231,1,0.3014958501,1,0.188295573,1,-0.2542980611,1,-0.3879068792,
2,0.4897915125,2,0.3013612032,2,0.1884303093,2,-0.2533214986,2,-0.3857051134,
3,0.4897916019,3,0.3015241027,3,0.1882674992,3,-0.253077358,3,-0.3861944079,
4,0.4897916615,4,0.3015922904,4,0.1881993711,4,-0.2533214986,4,-0.3869283199,
5,0.4897918403,5,0.3013114333,5,0.188480407,5,-0.2542980611,5,-0.3869283199,
6,0.4897919893,6,0.301242888,6,0.1885491014,6,-0.2540539205,6,-0.3861944079,
7,0.4897920489,7,0.301405549,7,0.1883864999,7,-0.2538097799,7,-0.3866837025,
8,0.4897922277,8,0.301381588,8,0.1884106398,8,-0.2540539205,8,-0.3869283199,
9,0.4897922873,9,0.301473856,9,0.1883184314,9,-0.2540539205,9,-0.3874176145,
10,0.4897923768,10,0.3014296293,10,0.1883627474,10,-0.2535656393,10,-0.3864390552,
11,0.4897924662,11,0.3014979362,11,0.1882945299,11,-0.2538097799,11,-0.3871729672,
12,0.4897925258,12,0.301427722,12,0.1883648038,12,-0.2540539205,12,-0.3871729672,
13,0.4897926152,13,0.3015199304,13,0.1882726848,13,-0.2540539205,13,-0.3876622319,
14,0.4897926152,14,0.3014296293,14,0.1883629858,14,-0.2535656393,14,-0.3864390552,
15,0.4897926152,15,0.3014758825,15,0.1883167326,15,-0.2535656393,15,-0.3866837025,
16,0.4897926152,16,0.3014979362,16,0.1882946789,16,-0.2538097799,16,-0.3871729672,
17,0.4897926152,17,0.3013114333,17,0.1884811819,17,-0.2542980611,17,-0.3869283199,
18,0.4897925258,18,0.3015241027,18,0.1882684231,18,-0.253077358,18,-0.3861944079,
19,0.4897925258,19,0.3014518023,19,0.1883407235,19,-0.2538097799,19,-0.3869283199,
20,0.4897925258,20,0.301543951,20,0.1882485747,20,-0.2538097799,20,-0.3874176145,
21,0.4897924662,21,0.3013558388,21,0.1884366274,21,-0.2547863424,21,-0.3879068792,
22,0.4897924662,22,0.3014999628,22,0.1882925034,22,-0.2533214986,22,-0.3864390552,
23,0.4897924662,23,0.3014979362,23,0.1882945299,23,-0.2538097799,23,-0.3871729672,
24,0.4897923768,24,0.301543951,24,0.1882484257,24,-0.2538097799,24,-0.3874176145,
25,0.4897923768,25,0.3014258146,25,0.1883665621,25,-0.2545422018,25,-0.3879068792,
26,0.4897923768,26,0.3014537096,26,0.1883386672,26,-0.2533214986,26,-0.3861944079,
27,0.4897922873,27,0.3014518023,27,0.1883404851,27,-0.2538097799,27,-0.3869283199,
28,0.4897922277,28,0.3014037609,28,0.1883884668,28,-0.2542980611,28,-0.3874176145,
29,0.4897922277,29,0.3013114333,29,0.1884807944,29,-0.2542980611,29,-0.3869283199,
30,0.4897921383,30,0.3014758825,30,0.1883162558,30,-0.2535656393,30,-0.3866837025,
31,0.4897919893,31,0.3015681505,31,0.1882238388,31,-0.2535656393,31,-0.3871729672,
32,0.4897918403,32,0.3012875319,32,0.1885043085,32,-0.2545422018,32,-0.3871729672,
33,0.4897917509,33,0.3013594151,33,0.1884323359,33,-0.2538097799,33,-0.3864390552,
34,0.4897916019,34,0.3014537096,34,0.1883378923,34,-0.2533214986,34,-0.3861944079,
35,0.4897914231,35,0.3015220165,35,0.1882694066,35,-0.2535656393,35,-0.3869283199,
36,0.4897912741,36,0.301381588,36,0.1884096861,36,-0.2540539205,36,-0.3869283199,
37,0.4897911251,37,0.301381588,37,0.1884095371,37,-0.2540539205,37,-0.3869283199,
38,0.4897910357,38,0.3014518023,38,0.1883392334,38,-0.2538097799,38,-0.3869283199,
39,0.4897908866,39,0.301381588,39,0.1884092987,39,-0.2540539205,39,-0.3869283199,
40,0.4897907078,40,0.3014497757,40,0.1883409321,40,-0.2542980611,40,-0.3876622319,
41,0.4897905588,41,0.301405549,41,0.1883850098,41,-0.2538097799,41,-0.3866837025,
42,0.4897904694,42,0.3014999628,42,0.1882905066,42,-0.2533214986,42,-0.3864390552,
43,0.4897903204,43,0.301427722,43,0.1883625984,43,-0.2540539205,43,-0.3871729672,
